county,precinct,office,district,party,candidate,votes,election_day
Edgefield,Edgefield No.1,Governor,,DEM,Phil Noble,6,6
Edgefield,Edgefield No.2,Governor,,DEM,Phil Noble,10,10
Edgefield,Johnston No.1,Governor,,DEM,Phil Noble,9,9
Edgefield,Johnston No.2,Governor,,DEM,Phil Noble,9,9
Edgefield,Trenton No.1,Governor,,DEM,Phil Noble,11,11
Edgefield,Merriweather No.1,Governor,,DEM,Phil Noble,7,7
Edgefield,Westside,Governor,,DEM,Phil Noble,2,2
Edgefield,Harmony,Governor,,DEM,Phil Noble,1,1
Edgefield,North Side,Governor,,DEM,Phil Noble,3,3
Edgefield,Brunson,Governor,,DEM,Phil Noble,4,4
Edgefield,Merriweather No.2,Governor,,DEM,Phil Noble,7,7
Edgefield,Trenton No.2,Governor,,DEM,Phil Noble,33,33
Edgefield,Absentee,Governor,,DEM,Phil Noble,28,28
Edgefield,Emergency,Governor,,DEM,Phil Noble,0,0
Edgefield,Failsafe,Governor,,DEM,Phil Noble,0,0
Edgefield,Provisional,Governor,,DEM,Phil Noble,0,0
Edgefield,Failsafe Provisonal 1,Governor,,DEM,Phil Noble,0,0
Edgefield,Edgefield No.1,Governor,,DEM,James Smith,31,31
Edgefield,Edgefield No.2,Governor,,DEM,James Smith,72,72
Edgefield,Johnston No.1,Governor,,DEM,James Smith,68,68
Edgefield,Johnston No.2,Governor,,DEM,James Smith,63,63
Edgefield,Trenton No.1,Governor,,DEM,James Smith,49,49
Edgefield,Merriweather No.1,Governor,,DEM,James Smith,24,24
Edgefield,Westside,Governor,,DEM,James Smith,0,0
Edgefield,Harmony,Governor,,DEM,James Smith,25,25
Edgefield,North Side,Governor,,DEM,James Smith,38,38
Edgefield,Brunson,Governor,,DEM,James Smith,66,66
Edgefield,Merriweather No.2,Governor,,DEM,James Smith,43,43
Edgefield,Trenton No.2,Governor,,DEM,James Smith,155,155
Edgefield,Absentee,Governor,,DEM,James Smith,145,145
Edgefield,Emergency,Governor,,DEM,James Smith,0,0
Edgefield,Failsafe,Governor,,DEM,James Smith,3,3
Edgefield,Provisional,Governor,,DEM,James Smith,0,0
Edgefield,Failsafe Provisonal 1,Governor,,DEM,James Smith,0,0
Edgefield,Edgefield No.1,Governor,,DEM,Marguerite Willis,12,12
Edgefield,Edgefield No.2,Governor,,DEM,Marguerite Willis,32,32
Edgefield,Johnston No.1,Governor,,DEM,Marguerite Willis,22,22
Edgefield,Johnston No.2,Governor,,DEM,Marguerite Willis,22,22
Edgefield,Trenton No.1,Governor,,DEM,Marguerite Willis,24,24
Edgefield,Merriweather No.1,Governor,,DEM,Marguerite Willis,11,11
Edgefield,Westside,Governor,,DEM,Marguerite Willis,6,6
Edgefield,Harmony,Governor,,DEM,Marguerite Willis,11,11
Edgefield,North Side,Governor,,DEM,Marguerite Willis,7,7
Edgefield,Brunson,Governor,,DEM,Marguerite Willis,6,6
Edgefield,Merriweather No.2,Governor,,DEM,Marguerite Willis,20,20
Edgefield,Trenton No.2,Governor,,DEM,Marguerite Willis,66,66
Edgefield,Absentee,Governor,,DEM,Marguerite Willis,70,70
Edgefield,Emergency,Governor,,DEM,Marguerite Willis,0,0
Edgefield,Failsafe,Governor,,DEM,Marguerite Willis,2,2
Edgefield,Provisional,Governor,,DEM,Marguerite Willis,0,0
Edgefield,Failsafe Provisonal 1,Governor,,DEM,Marguerite Willis,0,0
Edgefield,Edgefield No.1,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,13,13
Edgefield,Edgefield No.2,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,25,25
Edgefield,Johnston No.1,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,18,18
Edgefield,Johnston No.2,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,27,27
Edgefield,Trenton No.1,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,22,22
Edgefield,Merriweather No.1,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,14,14
Edgefield,Westside,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,2,2
Edgefield,Harmony,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,5,5
Edgefield,North Side,"U.S.  House of Representatives, District  3",3,DEM,Hosea Cleveland,12,12
