county,precinct,office,district,party,candidate,votes,election_day
Fairfield,BLACKSTOCK,Governor,,REP,Henry McMaster,0,0
Fairfield,BLAIRS,Governor,,REP,Henry McMaster,12,12
Fairfield,CENTERVILLE,Governor,,REP,Henry McMaster,45,45
Fairfield,FEASTERVILLE,Governor,,REP,Henry McMaster,14,14
Fairfield,GREENBRIER,Governor,,REP,Henry McMaster,61,61
Fairfield,GLADDE3N GROVE,Governor,,REP,Henry McMaster,8,8
Fairfield,JENKINSVILLE,Governor,,REP,Henry McMaster,9,9
Fairfield,HOREB-GLENN,Governor,,REP,Henry McMaster,10,10
Fairfield,HICKORY RIDGE,Governor,,REP,Henry McMaster,37,37
Fairfield,LEBANON,Governor,,REP,Henry McMaster,25,25
Fairfield,MITFORD,Governor,,REP,Henry McMaster,60,60
Fairfield,MONTICELLO,Governor,,REP,Henry McMaster,8,8
Fairfield,NEW HOPE,Governor,,REP,Henry McMaster,4,4
Fairfield,RIDGEWAY,Governor,,REP,Henry McMaster,107,107
Fairfield,SIMPSON,Governor,,REP,Henry McMaster,54,54
Fairfield,SOUTH WINNSBORO,Governor,,REP,Henry McMaster,14,14
Fairfield,WINNSBORO MILLS,Governor,,REP,Henry McMaster,25,25
Fairfield,WINNSBORO NO. 1,Governor,,REP,Henry McMaster,31,31
Fairfield,WINNSBORO NO. 2,Governor,,REP,Henry McMaster,38,38
Fairfield,WHITE OAK,Governor,,REP,Henry McMaster,6,6
Fairfield,WOODARD,Governor,,REP,Henry McMaster,5,5
Fairfield,DUTCHMANS CREEK,Governor,,REP,Henry McMaster,157,157
Fairfield,Absentee,Governor,,REP,Henry McMaster,70,70
Fairfield,Emergency,Governor,,REP,Henry McMaster,0,0
Fairfield,Failsafe,Governor,,REP,Henry McMaster,2,2
Fairfield,Provisional,Governor,,REP,Henry McMaster,0,0
Fairfield,Failsafe Provisional,Governor,,REP,Henry McMaster,0,0
Fairfield,BLACKSTOCK,Governor,,REP,John Warren,0,0
Fairfield,BLAIRS,Governor,,REP,John Warren,2,2
Fairfield,CENTERVILLE,Governor,,REP,John Warren,7,7
Fairfield,FEASTERVILLE,Governor,,REP,John Warren,4,4
Fairfield,GREENBRIER,Governor,,REP,John Warren,27,27
Fairfield,GLADDE3N GROVE,Governor,,REP,John Warren,0,0
Fairfield,JENKINSVILLE,Governor,,REP,John Warren,6,6
Fairfield,HOREB-GLENN,Governor,,REP,John Warren,4,4
Fairfield,HICKORY RIDGE,Governor,,REP,John Warren,3,3
Fairfield,LEBANON,Governor,,REP,John Warren,21,21
Fairfield,MITFORD,Governor,,REP,John Warren,11,11
Fairfield,MONTICELLO,Governor,,REP,John Warren,6,6
