county,precinct,office,district,party,candidate,votes,election_day
Berkeley,ALVIN,Governor,,REP,Henry McMaster,39,39
Berkeley,BETHERA,Governor,,REP,Henry McMaster,24,24
Berkeley,BONNEAU,Governor,,REP,Henry McMaster,52,52
Berkeley,BONNEAU BEACH,Governor,,REP,Henry McMaster,140,140
Berkeley,CENTRAL,Governor,,REP,Henry McMaster,115,115
Berkeley,CAINHOY,Governor,,REP,Henry McMaster,7,7
Berkeley,CARNES CROSS ROAD 1,Governor,,REP,Henry McMaster,193,193
Berkeley,CARNES CROSS ROAD 2,Governor,,REP,Henry McMaster,72,72
Berkeley,CORDESVILLE,Governor,,REP,Henry McMaster,55,55
Berkeley,CROSS,Governor,,REP,Henry McMaster,49,49
Berkeley,DANIEL ISLAND 1,Governor,,REP,Henry McMaster,111,111
Berkeley,DANIEL ISLAND 2,Governor,,REP,Henry McMaster,49,49
Berkeley,DEVON FOREST 1,Governor,,REP,Henry McMaster,67,67
Berkeley,DEVON FOREST 2,Governor,,REP,Henry McMaster,59,59
Berkeley,EADYTOWN,Governor,,REP,Henry McMaster,10,10
Berkeley,HANAHAN 1,Governor,,REP,Henry McMaster,193,193
Berkeley,HANAHAN 2,Governor,,REP,Henry McMaster,73,73
Berkeley,HANAHAN 3,Governor,,REP,Henry McMaster,92,92
Berkeley,HANAHAN 4,Governor,,REP,Henry McMaster,74,74
Berkeley,HILTON CROSS RD,Governor,,REP,Henry McMaster,51,51
Berkeley,HUGER,Governor,,REP,Henry McMaster,35,35
Berkeley,JAMESTOWN,Governor,,REP,Henry McMaster,28,28
Berkeley,LEBANON,Governor,,REP,Henry McMaster,53,53
Berkeley,MACEDONIA,Governor,,REP,Henry McMaster,128,128
Berkeley,MCBETH,Governor,,REP,Henry McMaster,55,55
Berkeley,MONCKS CORNER 1,Governor,,REP,Henry McMaster,99,99
Berkeley,MONCKS CORNER 2,Governor,,REP,Henry McMaster,36,36
Berkeley,MONCKS CORNER 3,Governor,,REP,Henry McMaster,44,44
Berkeley,MONCKS CORNER 4,Governor,,REP,Henry McMaster,128,128
Berkeley,PIMLICO,Governor,,REP,Henry McMaster,142,142
Berkeley,PINOPOLIS,Governor,,REP,Henry McMaster,150,150
