county,precinct,office,district,party,candidate,votes,election_day
Marion,BRITTON'S NECK,Governor,,DEM,Phil Noble,44,44
Marion,FRIENDSHIP,Governor,,DEM,Phil Noble,6,6
Marion,CENTENARY,Governor,,DEM,Phil Noble,14,14
Marion,RAINS,Governor,,DEM,Phil Noble,6,6
Marion,MARION NO. 1,Governor,,DEM,Phil Noble,4,4
Marion,MARION NO. 2,Governor,,DEM,Phil Noble,10,10
Marion,MARION NORTH,Governor,,DEM,Phil Noble,5,5
Marion,MARION SOUTH,Governor,,DEM,Phil Noble,17,17
Marion,MARION WEST,Governor,,DEM,Phil Noble,4,4
Marion,SELLERS,Governor,,DEM,Phil Noble,2,2
Marion,TEMPERANCE,Governor,,DEM,Phil Noble,11,11
Marion,ZION,Governor,,DEM,Phil Noble,5,5
Marion,N WEST MULLINS,Governor,,DEM,Phil Noble,19,19
Marion,S WEST MULLINS,Governor,,DEM,Phil Noble,29,29
Marion,N EAST MULLINS,Governor,,DEM,Phil Noble,14,14
Marion,S EAST MULLINS,Governor,,DEM,Phil Noble,11,11
Marion,NICHOLS,Governor,,DEM,Phil Noble,8,8
Marion,Absentee,Governor,,DEM,Phil Noble,147,147
Marion,Emergency,Governor,,DEM,Phil Noble,0,0
Marion,Failsafe,Governor,,DEM,Phil Noble,0,0
Marion,Provisional,Governor,,DEM,Phil Noble,0,0
Marion,Failsafe Provisional,Governor,,DEM,Phil Noble,0,0
Marion,BRITTON'S NECK,Governor,,DEM,James Smith,125,125
Marion,FRIENDSHIP,Governor,,DEM,James Smith,22,22
Marion,CENTENARY,Governor,,DEM,James Smith,83,83
Marion,RAINS,Governor,,DEM,James Smith,48,48
Marion,MARION NO. 1,Governor,,DEM,James Smith,45,45
Marion,MARION NO. 2,Governor,,DEM,James Smith,77,77
Marion,MARION NORTH,Governor,,DEM,James Smith,54,54
Marion,MARION SOUTH,Governor,,DEM,James Smith,147,147
Marion,MARION WEST,Governor,,DEM,James Smith,47,47
Marion,SELLERS,Governor,,DEM,James Smith,20,20
Marion,TEMPERANCE,Governor,,DEM,James Smith,40,40
Marion,ZION,Governor,,DEM,James Smith,27,27
Marion,N WEST MULLINS,Governor,,DEM,James Smith,78,78
Marion,S WEST MULLINS,Governor,,DEM,James Smith,156,156
Marion,N EAST MULLINS,Governor,,DEM,James Smith,95,95
Marion,S EAST MULLINS,Governor,,DEM,James Smith,52,52
Marion,NICHOLS,Governor,,DEM,James Smith,52,52
Marion,Absentee,Governor,,DEM,James Smith,220,220
Marion,Emergency,Governor,,DEM,James Smith,0,0
Marion,Failsafe,Governor,,DEM,James Smith,3,3
Marion,Provisional,Governor,,DEM,James Smith,2,2
Marion,Failsafe Provisional,Governor,,DEM,James Smith,0,0
Marion,BRITTON'S NECK,Governor,,DEM,Marguerite Willis,113,113
Marion,FRIENDSHIP,Governor,,DEM,Marguerite Willis,11,11
Marion,CENTENARY,Governor,,DEM,Marguerite Willis,56,56
Marion,RAINS,Governor,,DEM,Marguerite Willis,33,33
