county,precinct,office,district,party,candidate,votes,failsafe_provisional,failsafe,absentee_by_mail,election_day,in-person_absentee,provisional
Abbeville,Abbeville No. 1,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,118,0,0,22,68,28,0
Abbeville,Abbeville No. 2,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,218,0,0,32,142,44,0
Abbeville,Abbeville No. 3,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,105,0,0,15,65,25,0
Abbeville,Abbeville No. 4,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,56,0,0,18,34,4,0
Abbeville,Antreville,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,36,0,0,3,32,1,0
Abbeville,Broadmouth,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,26,0,0,1,24,1,0
Abbeville,Calhoun Falls,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,192,0,0,11,163,18,0
Abbeville,Cold Springs,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,38,0,0,1,34,3,0
Abbeville,Donald's,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,14,0,0,0,11,3,0
Abbeville,Due West,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,112,0,0,20,72,20,0
Abbeville,Hall's Store,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,32,0,0,3,29,0,0
Abbeville,Keowee,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,23,0,0,2,15,6,0
Abbeville,Lowndesville,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,27,0,0,2,22,3,0
Abbeville,Lebanon,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,52,0,0,9,34,9,0
Abbeville,Smithville,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,45,0,0,10,30,5,0
Abbeville,Failsafe,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,0,0,0,0,0,0,0
Abbeville,Provisional,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,BALLOTS CAST,,DEM,BALLOTS CAST - Democratic,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,BALLOTS CAST,,REP,BALLOTS CAST - Republican,295,0,0,60,149,86,0
Abbeville,Abbeville No. 2,BALLOTS CAST,,REP,BALLOTS CAST - Republican,94,0,0,10,67,17,0
Abbeville,Abbeville No. 3,BALLOTS CAST,,REP,BALLOTS CAST - Republican,155,0,0,15,99,41,0
Abbeville,Abbeville No. 4,BALLOTS CAST,,REP,BALLOTS CAST - Republican,140,0,0,4,105,31,0
Abbeville,Antreville,BALLOTS CAST,,REP,BALLOTS CAST - Republican,190,0,0,11,171,8,0
Abbeville,Broadmouth,BALLOTS CAST,,REP,BALLOTS CAST - Republican,72,0,0,0,71,1,0
Abbeville,Calhoun Falls,BALLOTS CAST,,REP,BALLOTS CAST - Republican,146,0,0,17,121,8,0
Abbeville,Cold Springs,BALLOTS CAST,,REP,BALLOTS CAST - Republican,205,0,0,9,183,13,0
Abbeville,Donald's,BALLOTS CAST,,REP,BALLOTS CAST - Republican,82,0,0,0,81,1,0
Abbeville,Due West,BALLOTS CAST,,REP,BALLOTS CAST - Republican,200,0,0,13,180,7,0
Abbeville,Hall's Store,BALLOTS CAST,,REP,BALLOTS CAST - Republican,102,0,0,6,96,0,0
Abbeville,Keowee,BALLOTS CAST,,REP,BALLOTS CAST - Republican,148,0,0,8,136,4,0
Abbeville,Lowndesville,BALLOTS CAST,,REP,BALLOTS CAST - Republican,166,0,0,11,146,9,0
