county,office,district,party,candidate,votes
ABBEVILLE,President,,REP,Hugh Cort,1
ABBEVILLE,President,,REP,John Cox,0
ABBEVILLE,President,,REP,Cap Fendig,0
ABBEVILLE,President,,REP,Rudy Giuliani,11
ABBEVILLE,President,,REP,Mike Huckabee,907
ABBEVILLE,President,,REP,Duncan Hunter,3
ABBEVILLE,President,,REP,John McCain,541
ABBEVILLE,President,,REP,Ron Paul,104
ABBEVILLE,President,,REP,Mitt Romney,207
ABBEVILLE,President,,REP,Tom Tancredo,0
ABBEVILLE,President,,REP,Fred Thompson,359
AIKEN,President,,REP,Hugh Cort,3
AIKEN,President,,REP,John Cox,2
AIKEN,President,,REP,Cap Fendig,2
AIKEN,President,,REP,Rudy Giuliani,435
AIKEN,President,,REP,Mike Huckabee,5901
AIKEN,President,,REP,Duncan Hunter,36
AIKEN,President,,REP,John McCain,6379
AIKEN,President,,REP,Ron Paul,822
AIKEN,President,,REP,Mitt Romney,2639
AIKEN,President,,REP,Tom Tancredo,2
AIKEN,President,,REP,Fred Thompson,2081
ALLENDALE,President,,REP,Hugh Cort,0
ALLENDALE,President,,REP,John Cox,2
ALLENDALE,President,,REP,Cap Fendig,0
ALLENDALE,President,,REP,Rudy Giuliani,7
ALLENDALE,President,,REP,Mike Huckabee,70
ALLENDALE,President,,REP,Duncan Hunter,0
ALLENDALE,President,,REP,John McCain,144
ALLENDALE,President,,REP,Ron Paul,12
ALLENDALE,President,,REP,Mitt Romney,27
ALLENDALE,President,,REP,Tom Tancredo,0
ALLENDALE,President,,REP,Fred Thompson,26
ANDERSON,President,,REP,Hugh Cort,1
ANDERSON,President,,REP,John Cox,3
ANDERSON,President,,REP,Cap Fendig,1
ANDERSON,President,,REP,Rudy Giuliani,194
ANDERSON,President,,REP,Mike Huckabee,8474
ANDERSON,President,,REP,Duncan Hunter,43
ANDERSON,President,,REP,John McCain,5996
ANDERSON,President,,REP,Ron Paul,769
ANDERSON,President,,REP,Mitt Romney,2594
ANDERSON,President,,REP,Tom Tancredo,3
ANDERSON,President,,REP,Fred Thompson,2983
BAMBERG,President,,REP,Hugh Cort,0
BAMBERG,President,,REP,John Cox,0
BAMBERG,President,,REP,Cap Fendig,0
BAMBERG,President,,REP,Rudy Giuliani,9
BAMBERG,President,,REP,Mike Huckabee,265
BAMBERG,President,,REP,Duncan Hunter,1
BAMBERG,President,,REP,John McCain,341
BAMBERG,President,,REP,Ron Paul,25
BAMBERG,President,,REP,Mitt Romney,76
BAMBERG,President,,REP,Tom Tancredo,0
BAMBERG,President,,REP,Fred Thompson,71
BARNWELL,President,,REP,Hugh Cort,0
BARNWELL,President,,REP,John Cox,0
BARNWELL,President,,REP,Cap Fendig,0
BARNWELL,President,,REP,Rudy Giuliani,32
BARNWELL,President,,REP,Mike Huckabee,611
BARNWELL,President,,REP,Duncan Hunter,1
BARNWELL,President,,REP,John McCain,700
BARNWELL,President,,REP,Ron Paul,46
BARNWELL,President,,REP,Mitt Romney,104
BARNWELL,President,,REP,Tom Tancredo,0
BARNWELL,President,,REP,Fred Thompson,111
BEAUFORT,President,,REP,Hugh Cort,2
BEAUFORT,President,,REP,John Cox,4
BEAUFORT,President,,REP,Cap Fendig,2
BEAUFORT,President,,REP,Rudy Giuliani,1122
BEAUFORT,President,,REP,Mike Huckabee,3211
BEAUFORT,President,,REP,Duncan Hunter,12
BEAUFORT,President,,REP,John McCain,8249
BEAUFORT,President,,REP,Ron Paul,358
BEAUFORT,President,,REP,Mitt Romney,5061
BEAUFORT,President,,REP,Tom Tancredo,2
BEAUFORT,President,,REP,Fred Thompson,1623
BERKELEY,President,,REP,Hugh Cort,2
