county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_by_mail,provisional,failsafe_provisional,failsafe
Chester,Baldwin Mill,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Baton Rouge,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Beckhamville,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Blackstock,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Edgemoor,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Chester,Eureka Mill,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Fort Lawn,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Halsellville,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Hazelwood,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Lowrys,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Richburg,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Rodman,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Chester,Rossville,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Wilksburg,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Chester Ward 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Chester Ward 2,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Chester Ward 3,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Chester Ward 4,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Chester Ward 5,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Lando/Lansford,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Chester,Great Falls,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Chester,Failsafe,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Failsafe Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Chester,Baldwin Mill,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Chester,Baton Rouge,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Chester,Beckhamville,Straight Party 2,,UNC,United Citizens,2,1,1,0,0,0,0
Chester,Blackstock,Straight Party 2,,UNC,United Citizens,1,0,0,1,0,0,0
Chester,Edgemoor,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Chester,Eureka Mill,Straight Party 2,,UNC,United Citizens,4,1,3,0,0,0,0
Chester,Fort Lawn,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Chester,Halsellville,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
