county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Florence,High Hill,U.S. House,6,REP,Duke Buckner,15,0,0,0,7,0,8
Florence,Lake City No. 1,U.S. House,6,REP,Duke Buckner,12,0,0,0,4,0,8
Florence,Lake City No. 2,U.S. House,6,REP,Duke Buckner,18,0,1,0,5,0,12
Florence,Lake City No. 3,U.S. House,6,REP,Duke Buckner,16,0,0,0,8,0,8
Florence,Lake City No. 4,U.S. House,6,REP,Duke Buckner,2,0,0,0,0,0,2
Florence,Leo,U.S. House,6,REP,Duke Buckner,6,0,0,0,1,0,5
Florence,Scranton,U.S. House,6,REP,Duke Buckner,1,0,0,0,0,0,1
Florence,Failsafe,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Florence,Provisional,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Florence,Failsafe Provisional,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Florence,High Hill,U.S. House,6,REP,Justin Scott,13,0,0,0,1,0,12
Florence,Lake City No. 1,U.S. House,6,REP,Justin Scott,4,0,0,0,1,0,3
Florence,Lake City No. 2,U.S. House,6,REP,Justin Scott,19,0,0,0,8,0,11
Florence,Lake City No. 3,U.S. House,6,REP,Justin Scott,3,0,0,0,3,0,0
Florence,Lake City No. 4,U.S. House,6,REP,Justin Scott,0,0,0,0,0,0,0
Florence,Leo,U.S. House,6,REP,Justin Scott,5,0,0,0,0,0,5
Florence,Scranton,U.S. House,6,REP,Justin Scott,5,0,0,0,1,0,4
Florence,Failsafe,U.S. House,6,REP,Justin Scott,0,0,0,0,0,0,0
Florence,Provisional,U.S. House,6,REP,Justin Scott,0,0,0,0,0,0,0
Florence,Failsafe Provisional,U.S. House,6,REP,Justin Scott,0,0,0,0,0,0,0
Florence,Back Swamp,U.S. House,7,DEM,Mal Hyman,6,0,0,0,0,0,6
Florence,Brookgreen,U.S. House,7,DEM,Mal Hyman,37,0,1,0,5,0,31
Florence,Cartersville,U.S. House,7,DEM,Mal Hyman,36,0,2,0,15,0,19
Florence,Claussen,U.S. House,7,DEM,Mal Hyman,51,0,3,0,10,0,38
Florence,Coles Crossroads,U.S. House,7,DEM,Mal Hyman,103,0,1,0,23,0,79
Florence,Cowards No. 1,U.S. House,7,DEM,Mal Hyman,17,0,0,0,1,0,16
Florence,Cowards No. 2,U.S. House,7,DEM,Mal Hyman,4,0,0,0,2,0,2
Florence,Delmae No. 1,U.S. House,7,DEM,Mal Hyman,40,0,2,0,12,0,26
Florence,Delmae No. 2,U.S. House,7,DEM,Mal Hyman,26,0,0,0,6,0,20
Florence,Ebenezer No. 1,U.S. House,7,DEM,Mal Hyman,51,0,3,0,3,0,45
Florence,Ebenezer No. 2,U.S. House,7,DEM,Mal Hyman,58,0,0,0,17,0,41
Florence,Ebenezer No. 3,U.S. House,7,DEM,Mal Hyman,43,0,1,0,8,0,34
Florence,Effingham,U.S. House,7,DEM,Mal Hyman,4,0,0,0,1,0,3
Florence,Elim-Glenwood,U.S. House,7,DEM,Mal Hyman,22,0,0,0,4,0,18
Florence,Evergreen,U.S. House,7,DEM,Mal Hyman,16,0,0,0,0,0,16
Florence,Florence Ward 1,U.S. House,7,DEM,Mal Hyman,86,0,1,0,26,0,59
Florence,Florence Ward 2,U.S. House,7,DEM,Mal Hyman,47,0,2,0,10,0,35
Florence,Florence Ward 3,U.S. House,7,DEM,Mal Hyman,79,0,3,0,18,0,58
Florence,Florence Ward 4,U.S. House,7,DEM,Mal Hyman,33,0,3,0,3,0,27
Florence,Florence Ward 5,U.S. House,7,DEM,Mal Hyman,24,0,1,0,2,0,21
Florence,Florence Ward 6,U.S. House,7,DEM,Mal Hyman,52,0,2,0,1,0,49
Florence,Florence Ward 7,U.S. House,7,DEM,Mal Hyman,88,0,2,0,16,0,70
Florence,Florence Ward 8,U.S. House,7,DEM,Mal Hyman,104,0,0,0,21,0,83
Florence,Florence Ward 9,U.S. House,7,DEM,Mal Hyman,118,0,14,0,36,0,68
Florence,Florence Ward 10,U.S. House,7,DEM,Mal Hyman,42,0,1,0,8,0,33
Florence,Florence Ward 11,U.S. House,7,DEM,Mal Hyman,44,0,1,0,4,0,39
Florence,Florence Ward 12,U.S. House,7,DEM,Mal Hyman,98,0,0,0,26,0,72
Florence,Florence Ward 14,U.S. House,7,DEM,Mal Hyman,102,0,0,0,36,0,66
