county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_by_mail,provisional,failsafe_provisional,failsafe
Cherokee,Allens,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Alma Mill,Straight Party 2,,CON,Constitution,2,2,0,0,0,0,0
Cherokee,Antioch and Kings Creek,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Ashworth,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Blacksburg Ward No. 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Blacksburg Ward No. 2,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Draytonville,Straight Party 2,,CON,Constitution,3,2,1,0,0,0,0
Cherokee,Ezells and Butler,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Cherokee,Gaffney Ward No. 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 2,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 3,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Cherokee,Gaffney Ward No. 4,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 5,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 6,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Grassy Pond,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Goucher and Thicketty,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Holly Grove-Buffalo,Straight Party 2,,CON,Constitution,2,0,2,0,0,0,0
Cherokee,Limestone Mill,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Littlejohn's and Sarratt's,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Macedonia,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Cherokee,Morgan,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Musgrove Mill,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Ninety Nine and Cherokee Falls,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Pleasant Grove,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Pleasant Meadows,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Timber Ridge,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,White Plains,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Cherokee,Wilkinsville and Metcalf,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Woods,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Failsafe,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Failsafe Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Cherokee,Allens,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Alma Mill,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Antioch and Kings Creek,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Ashworth,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Blacksburg Ward No. 1,Straight Party 2,,UNC,United Citizens,1,1,0,0,0,0,0
Cherokee,Blacksburg Ward No. 2,Straight Party 2,,UNC,United Citizens,2,1,1,0,0,0,0
Cherokee,Draytonville,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Cherokee,Ezells and Butler,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Cherokee,Gaffney Ward No. 1,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 2,Straight Party 2,,UNC,United Citizens,4,2,2,0,0,0,0
Cherokee,Gaffney Ward No. 3,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Cherokee,Gaffney Ward No. 4,Straight Party 2,,UNC,United Citizens,2,1,1,0,0,0,0
Cherokee,Gaffney Ward No. 5,Straight Party 2,,UNC,United Citizens,2,1,1,0,0,0,0
