county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Colleton,GREEN POND,U.S. House,1,DEM,Mac Deford,29,0,0,0,14,0,15
Colleton,EDISTO BEACH,U.S. House,1,DEM,Mac Deford,24,0,1,0,3,0,20
Colleton,Failsafe,U.S. House,1,DEM,Mac Deford,0,0,0,0,0,0,0
Colleton,Provisional,U.S. House,1,DEM,Mac Deford,0,0,0,0,0,0,0
Colleton,Failsafe Provisional,U.S. House,1,DEM,Mac Deford,0,0,0,0,0,0,0
Colleton,GREEN POND,U.S. House,1,DEM,Michael B Moore,108,0,2,0,49,0,57
Colleton,EDISTO BEACH,U.S. House,1,DEM,Michael B Moore,13,0,1,0,0,0,12
Colleton,Failsafe,U.S. House,1,DEM,Michael B Moore,0,0,0,0,0,0,0
Colleton,Provisional,U.S. House,1,DEM,Michael B Moore,0,0,0,0,0,0,0
Colleton,Failsafe Provisional,U.S. House,1,DEM,Michael B Moore,0,0,0,0,0,0,0
Colleton,BELLS,U.S. House,6,REP,Duke Buckner,15,0,0,0,3,0,12
Colleton,CANADYS,U.S. House,6,REP,Duke Buckner,21,0,0,0,4,0,17
Colleton,COTTAGEVILLE,U.S. House,6,REP,Duke Buckner,77,0,0,0,16,0,61
Colleton,EDISTO,U.S. House,6,REP,Duke Buckner,3,0,0,0,1,0,2
Colleton,HENDERSONVILLE,U.S. House,6,REP,Duke Buckner,39,0,0,0,13,0,26
Colleton,HORSE PEN,U.S. House,6,REP,Duke Buckner,40,0,0,0,20,0,20
Colleton,HUDSON MILL,U.S. House,6,REP,Duke Buckner,41,0,0,0,9,0,32
Colleton,JACKSONBORO,U.S. House,6,REP,Duke Buckner,5,0,0,0,2,0,3
Colleton,MAPLE CANE,U.S. House,6,REP,Duke Buckner,54,0,1,0,7,0,46
Colleton,MASHAWVILLE,U.S. House,6,REP,Duke Buckner,28,0,0,0,10,0,18
Colleton,PEEPLES,U.S. House,6,REP,Duke Buckner,58,0,1,0,25,0,32
Colleton,PETITS,U.S. House,6,REP,Duke Buckner,10,0,0,0,2,0,8
Colleton,PENIEL,U.S. House,6,REP,Duke Buckner,44,0,0,0,20,0,24
Colleton,RITTER,U.S. House,6,REP,Duke Buckner,13,0,2,0,1,0,10
Colleton,ROUND O,U.S. House,6,REP,Duke Buckner,52,0,0,0,9,0,43
Colleton,RICE PATCH,U.S. House,6,REP,Duke Buckner,40,0,0,0,9,0,31
Colleton,RUFFIN,U.S. House,6,REP,Duke Buckner,11,0,0,0,3,0,8
Colleton,SIDNEYS,U.S. House,6,REP,Duke Buckner,43,0,5,0,10,0,28
Colleton,STOKES,U.S. House,6,REP,Duke Buckner,61,0,1,0,16,0,44
Colleton,SNIDERS,U.S. House,6,REP,Duke Buckner,38,0,0,0,19,0,19
Colleton,WALTERBORO NO. 1,U.S. House,6,REP,Duke Buckner,44,0,1,0,15,0,28
Colleton,WALTERBORO NO. 2,U.S. House,6,REP,Duke Buckner,22,0,1,0,10,0,11
Colleton,WALTERBORO NO. 3,U.S. House,6,REP,Duke Buckner,20,0,0,0,8,0,12
Colleton,WALTERBORO NO. 4,U.S. House,6,REP,Duke Buckner,117,0,0,0,47,0,70
Colleton,WILLIAMS,U.S. House,6,REP,Duke Buckner,12,0,0,0,0,0,12
Colleton,WOLF CREEK,U.S. House,6,REP,Duke Buckner,55,0,0,0,24,0,31
Colleton,WALTERBORO NO. 5,U.S. House,6,REP,Duke Buckner,152,0,2,0,87,0,63
Colleton,ASHTON-LODGE,U.S. House,6,REP,Duke Buckner,55,0,0,0,5,0,50
Colleton,BEREA-SMOAKS,U.S. House,6,REP,Duke Buckner,27,0,3,0,3,0,21
Colleton,WALTERBORO NO. 6,U.S. House,6,REP,Duke Buckner,23,0,0,0,7,0,16
Colleton,Failsafe,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Colleton,Provisional,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Colleton,Failsafe Provisional,U.S. House,6,REP,Duke Buckner,0,0,0,0,0,0,0
Colleton,BELLS,U.S. House,6,REP,Justin Scott,19,0,0,0,7,0,12
Colleton,CANADYS,U.S. House,6,REP,Justin Scott,22,0,0,0,6,0,16
Colleton,COTTAGEVILLE,U.S. House,6,REP,Justin Scott,29,0,0,0,2,0,27
Colleton,EDISTO,U.S. House,6,REP,Justin Scott,7,0,0,0,2,0,5
Colleton,HENDERSONVILLE,U.S. House,6,REP,Justin Scott,22,0,0,0,4,0,18
Colleton,HORSE PEN,U.S. House,6,REP,Justin Scott,24,0,0,0,10,0,14
Colleton,HUDSON MILL,U.S. House,6,REP,Justin Scott,18,0,0,0,3,0,15
Colleton,JACKSONBORO,U.S. House,6,REP,Justin Scott,3,0,0,0,2,0,1
Colleton,MAPLE CANE,U.S. House,6,REP,Justin Scott,39,0,1,0,4,0,34
Colleton,MASHAWVILLE,U.S. House,6,REP,Justin Scott,20,0,0,0,3,0,17
Colleton,PEEPLES,U.S. House,6,REP,Justin Scott,40,0,0,0,26,0,14
Colleton,PETITS,U.S. House,6,REP,Justin Scott,12,0,0,0,2,0,10
Colleton,PENIEL,U.S. House,6,REP,Justin Scott,27,0,0,0,11,0,16
Colleton,RITTER,U.S. House,6,REP,Justin Scott,19,0,0,0,10,0,9
Colleton,ROUND O,U.S. House,6,REP,Justin Scott,36,0,0,0,6,0,30
Colleton,RICE PATCH,U.S. House,6,REP,Justin Scott,38,0,0,0,8,0,30
Colleton,RUFFIN,U.S. House,6,REP,Justin Scott,7,0,0,0,1,0,6
Colleton,SIDNEYS,U.S. House,6,REP,Justin Scott,14,0,1,0,0,0,13
Colleton,STOKES,U.S. House,6,REP,Justin Scott,48,0,1,0,17,0,30
Colleton,SNIDERS,U.S. House,6,REP,Justin Scott,34,0,0,0,7,0,27
