county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Abbeville,Abbeville No. 1,,U.S. House,3,DEM,Bryon L Best,27,0,4,0,10,0,13
Abbeville,Abbeville No. 2,,U.S. House,3,DEM,Bryon L Best,58,0,3,0,28,0,27
Abbeville,Abbeville No. 3,,U.S. House,3,DEM,Bryon L Best,44,0,1,0,21,0,22
Abbeville,Abbeville No. 4,,U.S. House,3,DEM,Bryon L Best,15,0,0,0,5,0,10
Abbeville,Antreville,,U.S. House,3,DEM,Bryon L Best,11,0,0,0,3,0,8
Abbeville,Broadmouth,,U.S. House,3,DEM,Bryon L Best,4,0,0,0,2,0,2
Abbeville,Calhoun Falls,,U.S. House,3,DEM,Bryon L Best,39,0,0,0,9,0,30
Abbeville,Cold Springs,,U.S. House,3,DEM,Bryon L Best,11,0,0,0,4,0,7
Abbeville,Donald's,,U.S. House,3,DEM,Bryon L Best,4,0,0,0,2,0,2
Abbeville,Due West,,U.S. House,3,DEM,Bryon L Best,25,0,2,0,8,0,15
Abbeville,Hall's Store,,U.S. House,3,DEM,Bryon L Best,5,0,0,0,0,0,5
Abbeville,Keowee,,U.S. House,3,DEM,Bryon L Best,14,0,0,0,2,0,12
Abbeville,Lowndesville,,U.S. House,3,DEM,Bryon L Best,9,0,0,0,4,0,5
Abbeville,Lebanon,,U.S. House,3,DEM,Bryon L Best,16,0,0,0,4,0,12
Abbeville,Smithville,,U.S. House,3,DEM,Bryon L Best,20,0,0,0,7,0,13
Abbeville,Failsafe,,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,DEM,Frances Guldner,8,0,1,0,2,0,5
Abbeville,Abbeville No. 2,,U.S. House,3,DEM,Frances Guldner,14,0,2,0,7,0,5
Abbeville,Abbeville No. 3,,U.S. House,3,DEM,Frances Guldner,5,0,1,0,2,0,2
Abbeville,Abbeville No. 4,,U.S. House,3,DEM,Frances Guldner,8,0,0,0,4,0,4
Abbeville,Antreville,,U.S. House,3,DEM,Frances Guldner,3,0,0,0,1,0,2
Abbeville,Broadmouth,,U.S. House,3,DEM,Frances Guldner,0,0,0,0,0,0,0
Abbeville,Calhoun Falls,,U.S. House,3,DEM,Frances Guldner,18,0,0,0,4,0,14
Abbeville,Cold Springs,,U.S. House,3,DEM,Frances Guldner,4,0,0,0,2,0,2
Abbeville,Donald's,,U.S. House,3,DEM,Frances Guldner,2,0,0,0,1,0,1
Abbeville,Due West,,U.S. House,3,DEM,Frances Guldner,13,0,1,0,4,0,8
Abbeville,Hall's Store,,U.S. House,3,DEM,Frances Guldner,2,0,0,0,0,0,2
Abbeville,Keowee,,U.S. House,3,DEM,Frances Guldner,4,0,1,0,0,0,3
Abbeville,Lowndesville,,U.S. House,3,DEM,Frances Guldner,4,0,1,0,1,0,2
Abbeville,Lebanon,,U.S. House,3,DEM,Frances Guldner,4,0,0,0,1,0,3
Abbeville,Smithville,,U.S. House,3,DEM,Frances Guldner,6,0,0,0,2,0,4
Abbeville,Failsafe,,U.S. House,3,DEM,Frances Guldner,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,DEM,Frances Guldner,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,DEM,Frances Guldner,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Sheri Biggs,116,0,4,0,45,0,67
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Sheri Biggs,31,0,0,0,8,0,23
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Sheri Biggs,55,0,4,0,30,0,21
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Sheri Biggs,31,0,2,0,8,0,21
Abbeville,Antreville,,U.S. House,3,REP,Sheri Biggs,65,0,0,0,15,0,50
Abbeville,Broadmouth,,U.S. House,3,REP,Sheri Biggs,11,0,0,0,2,0,9
Abbeville,Calhoun Falls,,U.S. House,3,REP,Sheri Biggs,35,0,0,0,11,0,24
Abbeville,Cold Springs,,U.S. House,3,REP,Sheri Biggs,62,0,0,0,18,0,44
Abbeville,Donald's,,U.S. House,3,REP,Sheri Biggs,21,0,0,0,4,0,17
Abbeville,Due West,,U.S. House,3,REP,Sheri Biggs,48,0,1,0,9,0,38
Abbeville,Hall's Store,,U.S. House,3,REP,Sheri Biggs,35,0,1,0,1,0,33
Abbeville,Keowee,,U.S. House,3,REP,Sheri Biggs,52,0,0,0,3,0,49
Abbeville,Lowndesville,,U.S. House,3,REP,Sheri Biggs,41,0,0,0,13,0,28
Abbeville,Lebanon,,U.S. House,3,REP,Sheri Biggs,44,0,1,0,12,0,31
Abbeville,Smithville,,U.S. House,3,REP,Sheri Biggs,45,0,2,0,14,0,29
