county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Marion,BRITTON'S NECK,U.S. House,7,DEM,Mal Hyman,195,0,49,0,17,0,129
Marion,FRIENDSHIP,U.S. House,7,DEM,Mal Hyman,50,0,8,0,3,0,39
Marion,CENTENARY,U.S. House,7,DEM,Mal Hyman,157,0,44,0,40,0,73
Marion,RAINS,U.S. House,7,DEM,Mal Hyman,72,0,19,0,17,0,36
Marion,MARION NO. 1,U.S. House,7,DEM,Mal Hyman,185,0,80,0,28,0,77
Marion,MARION NO. 2,U.S. House,7,DEM,Mal Hyman,205,0,28,0,45,0,132
Marion,MARION NORTH,U.S. House,7,DEM,Mal Hyman,183,0,35,0,51,0,97
Marion,MARION SOUTH,U.S. House,7,DEM,Mal Hyman,348,0,122,0,92,0,134
Marion,MARION WEST,U.S. House,7,DEM,Mal Hyman,133,0,25,0,31,0,77
Marion,SELLERS,U.S. House,7,DEM,Mal Hyman,16,0,3,0,1,0,12
Marion,TEMPERANCE,U.S. House,7,DEM,Mal Hyman,91,0,13,0,18,0,60
Marion,ZION,U.S. House,7,DEM,Mal Hyman,66,0,7,0,15,0,44
Marion,N WEST MULLINS,U.S. House,7,DEM,Mal Hyman,134,0,33,0,26,0,75
Marion,S WEST MULLINS,U.S. House,7,DEM,Mal Hyman,215,0,53,0,49,0,113
Marion,N EAST MULLINS,U.S. House,7,DEM,Mal Hyman,201,0,44,0,49,0,108
Marion,S EAST MULLINS,U.S. House,7,DEM,Mal Hyman,149,0,2,0,54,0,93
Marion,NICHOLS,U.S. House,7,DEM,Mal Hyman,48,0,0,0,9,0,39
Marion,Failsafe,U.S. House,7,DEM,Mal Hyman,0,0,0,0,0,0,0
Marion,Provisional,U.S. House,7,DEM,Mal Hyman,3,0,0,0,0,3,0
Marion,Failsafe Provisional,U.S. House,7,DEM,Mal Hyman,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,U.S. House,7,DEM,Daryl W Scott,199,0,33,0,23,0,143
Marion,FRIENDSHIP,U.S. House,7,DEM,Daryl W Scott,42,0,9,0,5,0,28
Marion,CENTENARY,U.S. House,7,DEM,Daryl W Scott,194,0,35,0,41,0,118
Marion,RAINS,U.S. House,7,DEM,Daryl W Scott,106,0,7,0,18,0,81
Marion,MARION NO. 1,U.S. House,7,DEM,Daryl W Scott,168,0,41,0,38,0,89
Marion,MARION NO. 2,U.S. House,7,DEM,Daryl W Scott,205,0,19,0,53,0,133
Marion,MARION NORTH,U.S. House,7,DEM,Daryl W Scott,192,0,15,0,41,0,136
Marion,MARION SOUTH,U.S. House,7,DEM,Daryl W Scott,391,0,74,0,104,0,213
Marion,MARION WEST,U.S. House,7,DEM,Daryl W Scott,144,0,28,0,21,0,95
Marion,SELLERS,U.S. House,7,DEM,Daryl W Scott,34,0,7,0,2,0,25
Marion,TEMPERANCE,U.S. House,7,DEM,Daryl W Scott,131,0,7,0,22,0,102
Marion,ZION,U.S. House,7,DEM,Daryl W Scott,98,0,6,0,11,0,81
