county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_by_mail,provisional,failsafe_provisional,failsafe
Edgefield,Edgefield No.1,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,CON,Constitution,2,1,1,0,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Westside,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Harmony,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,North Side,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Brunson,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,CON,Constitution,3,1,2,0,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,CON,Constitution,2,1,1,0,0,0,0
Edgefield,Failsafe,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,UNC,United Citizens,3,1,2,0,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,UNC,United Citizens,2,0,2,0,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Westside,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Harmony,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Edgefield,North Side,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Brunson,Straight Party 2,,UNC,United Citizens,1,0,1,0,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,UNC,United Citizens,3,2,1,0,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,UNC,United Citizens,6,2,4,0,0,0,0
Edgefield,Failsafe,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,UNC,United Citizens,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,GRN,Green,1,1,0,0,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,GRN,Green,1,0,1,0,0,0,0
Edgefield,Westside,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Harmony,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,North Side,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Brunson,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Failsafe,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,GRN,Green,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,REP,Republican,176,97,76,3,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,REP,Republican,272,191,78,3,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,REP,Republican,162,79,80,3,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,REP,Republican,136,67,66,3,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,REP,Republican,218,97,116,5,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,REP,Republican,1015,742,248,25,0,0,0
Edgefield,Westside,Straight Party 2,,REP,Republican,319,174,137,8,0,0,0
Edgefield,Harmony,Straight Party 2,,REP,Republican,195,125,70,0,0,0,0
Edgefield,North Side,Straight Party 2,,REP,Republican,66,22,42,2,0,0,0
Edgefield,Brunson,Straight Party 2,,REP,Republican,66,28,34,4,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,REP,Republican,1075,833,218,24,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,REP,Republican,370,208,154,8,0,0,0
Edgefield,Failsafe,Straight Party 2,,REP,Republican,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,REP,Republican,2,0,0,0,2,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,REP,Republican,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,ALN,Alliance,2,2,0,0,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,ALN,Alliance,1,0,1,0,0,0,0
Edgefield,Westside,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Harmony,Straight Party 2,,ALN,Alliance,1,1,0,0,0,0,0
Edgefield,North Side,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Brunson,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Failsafe,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,ALN,Alliance,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,LIB,Libertarian,1,1,0,0,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,LIB,Libertarian,1,1,0,0,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,LIB,Libertarian,1,0,0,1,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,LIB,Libertarian,2,0,2,0,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,LIB,Libertarian,3,0,3,0,0,0,0
Edgefield,Westside,Straight Party 2,,LIB,Libertarian,1,0,1,0,0,0,0
Edgefield,Harmony,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,North Side,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,Brunson,Straight Party 2,,LIB,Libertarian,1,0,1,0,0,0,0
Edgefield,Merriweather No.2,Straight Party 2,,LIB,Libertarian,4,0,3,1,0,0,0
Edgefield,Trenton No.2,Straight Party 2,,LIB,Libertarian,3,2,1,0,0,0,0
Edgefield,Failsafe,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,Provisional,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,Failsafe Provisional,Straight Party 2,,LIB,Libertarian,0,0,0,0,0,0,0
Edgefield,Edgefield No.1,Straight Party 2,,DEM,Democratic,132,86,38,8,0,0,0
Edgefield,Edgefield No.2,Straight Party 2,,DEM,Democratic,395,232,149,14,0,0,0
Edgefield,Johnston No.1,Straight Party 2,,DEM,Democratic,324,137,153,34,0,0,0
Edgefield,Johnston No.2,Straight Party 2,,DEM,Democratic,288,137,135,16,0,0,0
Edgefield,Trenton No.1,Straight Party 2,,DEM,Democratic,201,115,79,7,0,0,0
Edgefield,Merriweather No.1,Straight Party 2,,DEM,Democratic,265,177,76,12,0,0,0
Edgefield,Westside,Straight Party 2,,DEM,Democratic,30,18,8,4,0,0,0
Edgefield,Harmony,Straight Party 2,,DEM,Democratic,92,49,34,9,0,0,0
Edgefield,North Side,Straight Party 2,,DEM,Democratic,122,51,69,2,0,0,0
Edgefield,Brunson,Straight Party 2,,DEM,Democratic,178,103,60,15,0,0,0
