county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee_by_mail,failsafe_provisional,failsafe
Charleston,Awendaw,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Christ Church,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Isle Of Palms 1A,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Isle of Palms 1B,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Isle of Palms 1C,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Sullivans Island,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,McClellanville,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Charleston,Deer Park 1A,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Charleston,Deer Park 1B,Straight Party 2,,CON,Constitution,2,1,1,0,0,0,0
Charleston,Deer Park 2A,Straight Party 2,,CON,Constitution,2,2,0,0,0,0,0
Charleston,Deer Park 2B,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Deer Park 2C,Straight Party 2,,CON,Constitution,2,2,0,0,0,0,0
Charleston,Deer Park 3,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Lincolnville,Straight Party 2,,CON,Constitution,2,0,2,0,0,0,0
Charleston,Ladson,Straight Party 2,,CON,Constitution,2,1,1,0,0,0,0
Charleston,Edisto Island,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Charleston,Wadmalaw Island 1,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Charleston,Wadmalaw Island 2,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Charleston,Kiawah Island,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Town of Seabrook,Straight Party 2,,CON,Constitution,3,1,2,0,0,0,0
Charleston,Folly Beach 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Folly Beach 2,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 2,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Charleston,Charleston 3,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 4,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 5,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 6,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 7,Straight Party 2,,CON,Constitution,1,1,0,0,0,0,0
Charleston,Charleston 8,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 9,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 10,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 11,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 12,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 13,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 14,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 15,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 16,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 17,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Charleston,Charleston 18,Straight Party 2,,CON,Constitution,2,1,1,0,0,0,0
Charleston,Charleston 19,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 20,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Charleston 21,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 1,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 2,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 3,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 4,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 5,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 6,Straight Party 2,,CON,Constitution,1,0,0,0,1,0,0
Charleston,Mt. Pleasant 7,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 8,Straight Party 2,,CON,Constitution,2,0,1,0,1,0,0
Charleston,Mt. Pleasant 9,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 10,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 11,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
Charleston,Mt. Pleasant 12,Straight Party 2,,CON,Constitution,0,0,0,0,0,0,0
Charleston,Mt. Pleasant 13,Straight Party 2,,CON,Constitution,1,0,1,0,0,0,0
