county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Oconee,Newry-Corinth,U.S. House,3,DEM,Bryon L Best,3,0,0,0,2,0,1
Oconee,Earles Grove,U.S. House,3,DEM,Bryon L Best,1,0,0,0,0,0,1
Oconee,Ravenel,U.S. House,3,DEM,Bryon L Best,15,0,1,0,0,0,14
Oconee,Fair Play,U.S. House,3,DEM,Bryon L Best,1,0,0,0,0,0,1
Oconee,Friendship,U.S. House,3,DEM,Bryon L Best,8,0,0,0,2,0,6
Oconee,Holly Springs,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Oconee,Keowee,U.S. House,3,DEM,Bryon L Best,7,0,0,0,2,0,5
Oconee,Long Creek,U.S. House,3,DEM,Bryon L Best,1,0,0,0,1,0,0
Oconee,Mountain Rest,U.S. House,3,DEM,Bryon L Best,4,0,0,0,1,0,3
Oconee,Madison,U.S. House,3,DEM,Bryon L Best,1,0,0,0,1,0,0
Oconee,Bountyland,U.S. House,3,DEM,Bryon L Best,3,0,0,0,1,0,2
Oconee,Oakway,U.S. House,3,DEM,Bryon L Best,6,0,2,0,1,0,3
Oconee,Return,U.S. House,3,DEM,Bryon L Best,1,0,0,0,1,0,0
Oconee,Richland,U.S. House,3,DEM,Bryon L Best,12,0,3,0,2,0,7
Oconee,Salem,U.S. House,3,DEM,Bryon L Best,11,0,3,0,2,0,6
Oconee,Stamp Creek,U.S. House,3,DEM,Bryon L Best,18,0,1,0,4,0,13
Oconee,New Hope,U.S. House,3,DEM,Bryon L Best,5,0,0,0,2,0,3
Oconee,Shiloh,U.S. House,3,DEM,Bryon L Best,8,0,0,0,1,0,7
Oconee,South Union,U.S. House,3,DEM,Bryon L Best,3,0,0,0,0,0,3
Oconee,Tamassee,U.S. House,3,DEM,Bryon L Best,1,0,0,0,0,0,1
Oconee,Tokeena-Providence,U.S. House,3,DEM,Bryon L Best,3,0,0,0,0,0,3
Oconee,Utica,U.S. House,3,DEM,Bryon L Best,3,0,0,0,0,0,3
Oconee,Walhalla 1,U.S. House,3,DEM,Bryon L Best,16,0,3,0,6,0,7
Oconee,Walhalla 2,U.S. House,3,DEM,Bryon L Best,14,0,5,0,1,0,8
Oconee,Westminster 1,U.S. House,3,DEM,Bryon L Best,8,0,1,0,5,0,2
Oconee,Westminster 2,U.S. House,3,DEM,Bryon L Best,7,0,0,0,3,0,4
Oconee,West Union,U.S. House,3,DEM,Bryon L Best,8,0,1,0,4,0,3
Oconee,Seneca 1,U.S. House,3,DEM,Bryon L Best,24,0,4,0,4,0,16
Oconee,Seneca 2,U.S. House,3,DEM,Bryon L Best,16,0,0,0,6,0,10
Oconee,Seneca 3,U.S. House,3,DEM,Bryon L Best,5,0,0,0,3,0,2
Oconee,Seneca 4,U.S. House,3,DEM,Bryon L Best,29,0,2,0,4,0,23
Oconee,Failsafe,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Oconee,Provisional,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Oconee,Failsafe Provisional,U.S. House,3,DEM,Bryon L Best,0,0,0,0,0,0,0
Oconee,Newry-Corinth,U.S. House,3,DEM,Frances Guldner,6,0,0,0,0,0,6
Oconee,Earles Grove,U.S. House,3,DEM,Frances Guldner,4,0,0,0,0,0,4
Oconee,Ravenel,U.S. House,3,DEM,Frances Guldner,35,0,8,0,9,0,18
Oconee,Fair Play,U.S. House,3,DEM,Frances Guldner,3,0,0,0,1,0,2
Oconee,Friendship,U.S. House,3,DEM,Frances Guldner,6,0,0,0,0,0,6
Oconee,Holly Springs,U.S. House,3,DEM,Frances Guldner,0,0,0,0,0,0,0
Oconee,Keowee,U.S. House,3,DEM,Frances Guldner,12,0,0,0,7,0,5
