county,precinct,office,district,party,candidate,votes,election_day
Greenville,GREENVILLE 1,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,171,171
Greenville,GREENVILLE 3,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,347,347
Greenville,GREENVILLE 4,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,100,100
Greenville,GREENVILLE 5,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,75,75
Greenville,GREENVILLE 25,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,29,29
Greenville,GREENVILLE 27,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,45,45
Greenville,ALTAMONT FOREST,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,47,47
Greenville,AVON,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,33,33
Greenville,BEREA,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,12,12
Greenville,BOTANY WOODS,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,63,63
Greenville,BROOKGLENN,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,27,27
Greenville,EASTSIDE,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,59,59
Greenville,EBENEZER,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,55,55
Greenville,EDWARDS FOREST,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,70,70
Greenville,ENOREE,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,65,65
Greenville,FURMAN,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,123,123
Greenville,LAKEVIEW,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,4,4
Greenville,LEAWOOD,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,107,107
Greenville,MONAVIEW,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,10,10
Greenville,MOUNTAIN CREEK,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,138,138
Greenville,NORTHWOOD,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,70,70
Greenville,PARIS MOUNTAIN,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,67,67
Greenville,PEBBLE CREEK,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,84,84
Greenville,POINSETT,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,79,79
Greenville,SALUDA,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,15,15
Greenville,SEVIER,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,97,97
Greenville,SILVERLEAF,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,91,91
Greenville,SPRING FOREST,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,35,35
Greenville,SULPHUR SPRINGS,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,24,24
Greenville,TIMBERLAKE,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,117,117
Greenville,WADE HAMPTON,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,39,39
Greenville,WELLINGTON,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,63,63
Greenville,WESTCLIFFE,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,11,11
Greenville,WESTSIDE,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,15,15
Greenville,TRAVELERS REST 1,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,117,117
Greenville,TRAVELERS REST 2,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,25,25
Greenville,Absentee,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,37,37
Greenville,Emergency,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,0,0
Greenville,Failsafe,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,3,3
Greenville,Provisional,"State  Senate, District  6",6,REP,Amy Ryberg Doyle,0,0
Greenville,GREENVILLE 1,"State  Senate, District  6",6,REP,Dwight A Loftis,130,130
Greenville,GREENVILLE 3,"State  Senate, District  6",6,REP,Dwight A Loftis,83,83
Greenville,GREENVILLE 4,"State  Senate, District  6",6,REP,Dwight A Loftis,22,22
Greenville,GREENVILLE 5,"State  Senate, District  6",6,REP,Dwight A Loftis,10,10
Greenville,GREENVILLE 25,"State  Senate, District  6",6,REP,Dwight A Loftis,33,33
Greenville,GREENVILLE 27,"State  Senate, District  6",6,REP,Dwight A Loftis,151,151
Greenville,ALTAMONT FOREST,"State  Senate, District  6",6,REP,Dwight A Loftis,113,113
Greenville,AVON,"State  Senate, District  6",6,REP,Dwight A Loftis,96,96
Greenville,BEREA,"State  Senate, District  6",6,REP,Dwight A Loftis,75,75
Greenville,BOTANY WOODS,"State  Senate, District  6",6,REP,Dwight A Loftis,82,82
Greenville,BROOKGLENN,"State  Senate, District  6",6,REP,Dwight A Loftis,87,87
Greenville,EASTSIDE,"State  Senate, District  6",6,REP,Dwight A Loftis,89,89
Greenville,EBENEZER,"State  Senate, District  6",6,REP,Dwight A Loftis,164,164
Greenville,EDWARDS FOREST,"State  Senate, District  6",6,REP,Dwight A Loftis,95,95
Greenville,ENOREE,"State  Senate, District  6",6,REP,Dwight A Loftis,170,170
Greenville,FURMAN,"State  Senate, District  6",6,REP,Dwight A Loftis,170,170
Greenville,LAKEVIEW,"State  Senate, District  6",6,REP,Dwight A Loftis,22,22
Greenville,LEAWOOD,"State  Senate, District  6",6,REP,Dwight A Loftis,124,124
Greenville,MONAVIEW,"State  Senate, District  6",6,REP,Dwight A Loftis,30,30
Greenville,MOUNTAIN CREEK,"State  Senate, District  6",6,REP,Dwight A Loftis,160,160
Greenville,NORTHWOOD,"State  Senate, District  6",6,REP,Dwight A Loftis,114,114
Greenville,PARIS MOUNTAIN,"State  Senate, District  6",6,REP,Dwight A Loftis,100,100
Greenville,PEBBLE CREEK,"State  Senate, District  6",6,REP,Dwight A Loftis,81,81
Greenville,POINSETT,"State  Senate, District  6",6,REP,Dwight A Loftis,178,178
Greenville,SALUDA,"State  Senate, District  6",6,REP,Dwight A Loftis,84,84
Greenville,SEVIER,"State  Senate, District  6",6,REP,Dwight A Loftis,162,162
Greenville,SILVERLEAF,"State  Senate, District  6",6,REP,Dwight A Loftis,71,71
Greenville,SPRING FOREST,"State  Senate, District  6",6,REP,Dwight A Loftis,40,40
Greenville,SULPHUR SPRINGS,"State  Senate, District  6",6,REP,Dwight A Loftis,126,126
Greenville,TIMBERLAKE,"State  Senate, District  6",6,REP,Dwight A Loftis,106,106
Greenville,WADE HAMPTON,"State  Senate, District  6",6,REP,Dwight A Loftis,91,91
Greenville,WELLINGTON,"State  Senate, District  6",6,REP,Dwight A Loftis,50,50
Greenville,WESTCLIFFE,"State  Senate, District  6",6,REP,Dwight A Loftis,51,51
Greenville,WESTSIDE,"State  Senate, District  6",6,REP,Dwight A Loftis,83,83
Greenville,TRAVELERS REST 1,"State  Senate, District  6",6,REP,Dwight A Loftis,158,158
Greenville,TRAVELERS REST 2,"State  Senate, District  6",6,REP,Dwight A Loftis,67,67
Greenville,Absentee,"State  Senate, District  6",6,REP,Dwight A Loftis,60,60
Greenville,Emergency,"State  Senate, District  6",6,REP,Dwight A Loftis,0,0
Greenville,Failsafe,"State  Senate, District  6",6,REP,Dwight A Loftis,0,0
Greenville,Provisional,"State  Senate, District  6",6,REP,Dwight A Loftis,0,0
Greenville,GREENVILLE 1,"State  Senate, District  6",6,REP,Jeffrey Stringer,16,16
Greenville,GREENVILLE 3,"State  Senate, District  6",6,REP,Jeffrey Stringer,7,7
Greenville,GREENVILLE 4,"State  Senate, District  6",6,REP,Jeffrey Stringer,2,2
Greenville,GREENVILLE 5,"State  Senate, District  6",6,REP,Jeffrey Stringer,2,2
Greenville,GREENVILLE 25,"State  Senate, District  6",6,REP,Jeffrey Stringer,8,8
Greenville,GREENVILLE 27,"State  Senate, District  6",6,REP,Jeffrey Stringer,0,0
Greenville,ALTAMONT FOREST,"State  Senate, District  6",6,REP,Jeffrey Stringer,8,8
Greenville,AVON,"State  Senate, District  6",6,REP,Jeffrey Stringer,9,9
Greenville,BEREA,"State  Senate, District  6",6,REP,Jeffrey Stringer,3,3
Greenville,BOTANY WOODS,"State  Senate, District  6",6,REP,Jeffrey Stringer,11,11
Greenville,BROOKGLENN,"State  Senate, District  6",6,REP,Jeffrey Stringer,10,10
Greenville,EASTSIDE,"State  Senate, District  6",6,REP,Jeffrey Stringer,8,8
Greenville,EBENEZER,"State  Senate, District  6",6,REP,Jeffrey Stringer,19,19
Greenville,EDWARDS FOREST,"State  Senate, District  6",6,REP,Jeffrey Stringer,9,9
Greenville,ENOREE,"State  Senate, District  6",6,REP,Jeffrey Stringer,3,3
Greenville,FURMAN,"State  Senate, District  6",6,REP,Jeffrey Stringer,15,15
Greenville,LAKEVIEW,"State  Senate, District  6",6,REP,Jeffrey Stringer,1,1
Greenville,LEAWOOD,"State  Senate, District  6",6,REP,Jeffrey Stringer,2,2
Greenville,MONAVIEW,"State  Senate, District  6",6,REP,Jeffrey Stringer,1,1
Greenville,MOUNTAIN CREEK,"State  Senate, District  6",6,REP,Jeffrey Stringer,14,14
Greenville,NORTHWOOD,"State  Senate, District  6",6,REP,Jeffrey Stringer,17,17
Greenville,PARIS MOUNTAIN,"State  Senate, District  6",6,REP,Jeffrey Stringer,7,7
Greenville,PEBBLE CREEK,"State  Senate, District  6",6,REP,Jeffrey Stringer,8,8
Greenville,POINSETT,"State  Senate, District  6",6,REP,Jeffrey Stringer,6,6
Greenville,SALUDA,"State  Senate, District  6",6,REP,Jeffrey Stringer,3,3
Greenville,SEVIER,"State  Senate, District  6",6,REP,Jeffrey Stringer,17,17
Greenville,SILVERLEAF,"State  Senate, District  6",6,REP,Jeffrey Stringer,12,12
Greenville,SPRING FOREST,"State  Senate, District  6",6,REP,Jeffrey Stringer,3,3
Greenville,SULPHUR SPRINGS,"State  Senate, District  6",6,REP,Jeffrey Stringer,10,10
Greenville,TIMBERLAKE,"State  Senate, District  6",6,REP,Jeffrey Stringer,7,7
Greenville,WADE HAMPTON,"State  Senate, District  6",6,REP,Jeffrey Stringer,5,5
Greenville,WELLINGTON,"State  Senate, District  6",6,REP,Jeffrey Stringer,5,5
Greenville,WESTCLIFFE,"State  Senate, District  6",6,REP,Jeffrey Stringer,3,3
Greenville,WESTSIDE,"State  Senate, District  6",6,REP,Jeffrey Stringer,2,2
Greenville,TRAVELERS REST 1,"State  Senate, District  6",6,REP,Jeffrey Stringer,11,11
Greenville,TRAVELERS REST 2,"State  Senate, District  6",6,REP,Jeffrey Stringer,1,1
Greenville,Absentee,"State  Senate, District  6",6,REP,Jeffrey Stringer,5,5
Greenville,Emergency,"State  Senate, District  6",6,REP,Jeffrey Stringer,0,0
Greenville,Failsafe,"State  Senate, District  6",6,REP,Jeffrey Stringer,0,0
Greenville,Provisional,"State  Senate, District  6",6,REP,Jeffrey Stringer,0,0
