county,office,district,party,candidate,votes
Allendale,State Senate,45,DEMOCRATIC,Margie Bright Matthews,212
Beaufort,State Senate,45,DEMOCRATIC,Margie Bright Matthews,878
Charleston,State Senate,45,DEMOCRATIC,Margie Bright Matthews,922
Colleton,State Senate,45,DEMOCRATIC,Margie Bright Matthews,1186
Hampton,State Senate,45,DEMOCRATIC,Margie Bright Matthews,1113
Jasper,State Senate,45,DEMOCRATIC,Margie Bright Matthews,1452
Allendale,State Senate,45,REPUBLICAN,Al Fernandez,24
Beaufort,State Senate,45,REPUBLICAN,Al Fernandez,89
Charleston,State Senate,45,REPUBLICAN,Al Fernandez,76
Colleton,State Senate,45,REPUBLICAN,Al Fernandez,68
Hampton,State Senate,45,REPUBLICAN,Al Fernandez,73
Jasper,State Senate,45,REPUBLICAN,Al Fernandez,420
Hampton,State Senate,45,REPUBLICAN,WRITE-IN,1
Jasper,State Senate,45,REPUBLICAN,WRITE-IN,1
