"county","office","district","party","candidate","votes"
"ALLENDALE","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",160
"ALLENDALE","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",173
"BEAUFORT","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",909
"BEAUFORT","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",160
"CHARLESTON","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",587
"CHARLESTON","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",428
"COLLETON","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",483
"COLLETON","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",1001
"HAMPTON","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",276
"HAMPTON","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",1164
"JASPER","State Senate",45,"DEMOCRATIC","Kenneth F Hodges",627
"JASPER","State Senate",45,"DEMOCRATIC","Margie Bright Matthews",982
