county,precinct,office,district,party,candidate,votes,election_day
Newberry,NEWBERRY WD 1,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,15,15
Newberry,NEWBERRY WD 2,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,68,68
Newberry,NEWBERRY WD 3,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,28,28
Newberry,NEWBERRY WD 4,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,4,4
Newberry,NEWBERRY WD 5,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,6,6
Newberry,NEWBERRY WD 6,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,49,49
Newberry,BETH-EDEN,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,15,15
Newberry,FAIRVIEW,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,85,85
Newberry,HELENA,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,8,8
Newberry,JOHNSTONE,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,16,16
Newberry,LITTLE MOUNTAIN,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,35,35
Newberry,MAYBINTON,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,0,0
Newberry,MIDWAY,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,10,10
Newberry,MT. BETHERL GARMANY,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,26,26
Newberry,CONSOLIDATED #5,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,39,39
Newberry,O'NEAL,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,53,53
Newberry,OAKLAND,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,5,5
Newberry,PEAK,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,5,5
Newberry,PONARIA,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,22,22
Newberry,PROSPERITY,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,59,59
Newberry,ST PHILLIPS JOLLY ST.,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,41,41
Newberry,WHEELAND,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,26,26
Newberry,WHITMIRE CITY,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,22,22
Newberry,WHITMIRE OUTSIDE,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,24,24
Newberry,Absentee,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,49,49
Newberry,Emergency,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,0,0
Newberry,Failsafe,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,0,0
Newberry,Provisional,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,0,0
Newberry,Failsafe Provisional,"U.S. House of Representatives, District 5",5,REP,Ralph Norman,0,0
Newberry,NEWBERRY WD 1,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,5,5
Newberry,NEWBERRY WD 2,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,41,41
Newberry,NEWBERRY WD 3,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,20,20
Newberry,NEWBERRY WD 4,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,5,5
Newberry,NEWBERRY WD 5,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,6,6
Newberry,NEWBERRY WD 6,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,32,32
Newberry,BETH-EDEN,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,6,6
Newberry,FAIRVIEW,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,72,72
Newberry,HELENA,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,6,6
Newberry,JOHNSTONE,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,14,14
Newberry,LITTLE MOUNTAIN,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,29,29
Newberry,MAYBINTON,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,0,0
Newberry,MIDWAY,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,4,4
Newberry,MT. BETHERL GARMANY,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,15,15
Newberry,CONSOLIDATED #5,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,32,32
Newberry,O'NEAL,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,54,54
Newberry,OAKLAND,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,8,8
Newberry,PEAK,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,6,6
Newberry,PONARIA,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,13,13
Newberry,PROSPERITY,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,38,38
Newberry,ST PHILLIPS JOLLY ST.,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,20,20
Newberry,WHEELAND,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,9,9
Newberry,WHITMIRE CITY,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,3,3
Newberry,WHITMIRE OUTSIDE,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,12,12
Newberry,Absentee,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,38,38
Newberry,Emergency,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,0,0
Newberry,Failsafe,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,0,0
Newberry,Provisional,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,0,0
Newberry,Failsafe Provisional,"U.S. House of Representatives, District 5",5,REP,Tommy Pope,0,0
