county,precinct,office,district,party,candidate,votes,election_day
Fairfield,BLACKSTOCK,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,BLAIRS,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,6,6
Fairfield,CENTERVILLE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,16,16
Fairfield,FEASTERVILLE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,1,1
Fairfield,GREENBRIER,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,44,44
Fairfield,GLADDE3N GROVE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,2,2
Fairfield,JENKINSVILLE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,5,5
Fairfield,HOREB-GLENN,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,HICKORY RIDGE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,25,25
Fairfield,LEBANON,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,25,25
Fairfield,MITFORD,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,22,22
Fairfield,MONTICELLO,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,4,4
Fairfield,NEW HOPE,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,2,2
Fairfield,RIDGEWAY,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,38,38
Fairfield,SIMPSON,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,23,23
Fairfield,SOUTH WINNSBORO,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,3,3
Fairfield,WINNSBORO MILLS,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,24,24
Fairfield,WINNSBORO NO. 1,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,15,15
Fairfield,WINNSBORO NO. 2,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,24,24
Fairfield,WHITE OAK,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,11,11
Fairfield,WOODARD,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,7,7
Fairfield,DUTCHMANS CREEK,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,68,68
Fairfield,Absentee,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,33,33
Fairfield,Emergency,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,Failsafe,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,Provisional,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,Failsafe Provisional,"U.S.  House of Representatives, District  5",5,REP,Ralph Norman,0,0
Fairfield,BLACKSTOCK,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,BLAIRS,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,6,6
Fairfield,CENTERVILLE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,11,11
Fairfield,FEASTERVILLE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,15,15
Fairfield,GREENBRIER,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,31,31
Fairfield,GLADDE3N GROVE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,3,3
Fairfield,JENKINSVILLE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,HOREB-GLENN,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,HICKORY RIDGE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,13,13
Fairfield,LEBANON,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,31,31
Fairfield,MITFORD,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,17,17
Fairfield,MONTICELLO,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,9,9
Fairfield,NEW HOPE,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,3,3
Fairfield,RIDGEWAY,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,20,20
Fairfield,SIMPSON,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,15,15
Fairfield,SOUTH WINNSBORO,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,3,3
Fairfield,WINNSBORO MILLS,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,13,13
Fairfield,WINNSBORO NO. 1,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,29,29
Fairfield,WINNSBORO NO. 2,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,35,35
Fairfield,WHITE OAK,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,8,8
Fairfield,WOODARD,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,DUTCHMANS CREEK,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,71,71
Fairfield,Absentee,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,48,48
Fairfield,Emergency,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,Failsafe,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,1,1
Fairfield,Provisional,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
Fairfield,Failsafe Provisional,"U.S.  House of Representatives, District  5",5,REP,Tommy Pope,0,0
