county,precinct,office,district,candidate,party,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Aiken,Aiken No. 1,President,,Howie Hawkins | Angela Walker,GRN,5,0,0,0,0,1,4
Aiken,Aiken No. 2,President,,Howie Hawkins | Angela Walker,GRN,5,3,0,0,0,1,1
Aiken,Aiken No. 3,President,,Howie Hawkins | Angela Walker,GRN,7,2,0,0,0,0,5
Aiken,Aiken No. 4,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,Aiken No. 5,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,0,2
Aiken,Aiken No. 6,President,,Howie Hawkins | Angela Walker,GRN,5,1,0,0,0,1,3
Aiken,Bath,President,,Howie Hawkins | Angela Walker,GRN,4,0,0,0,0,0,4
Aiken,Beech Island,President,,Howie Hawkins | Angela Walker,GRN,5,2,0,0,0,0,3
Aiken,Belvedere No. 9,President,,Howie Hawkins | Angela Walker,GRN,9,1,0,0,0,1,7
Aiken,Carolina Heights,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,China Springs,President,,Howie Hawkins | Angela Walker,GRN,10,3,0,0,0,2,5
Aiken,Clearwater,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,2,1
Aiken,College Acres,President,,Howie Hawkins | Angela Walker,GRN,6,1,0,0,0,1,4
Aiken,Eureka,President,,Howie Hawkins | Angela Walker,GRN,5,2,0,0,0,0,3
Aiken,Gloverville,President,,Howie Hawkins | Angela Walker,GRN,4,0,0,0,0,1,3
Aiken,Graniteville,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,1,2
Aiken,Jackson,President,,Howie Hawkins | Angela Walker,GRN,1,1,0,0,0,0,0
Aiken,Langley,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Lynwood,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,Millbrook,President,,Howie Hawkins | Angela Walker,GRN,4,1,0,0,0,1,2
Aiken,Monetta,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,Montmorenci No. 22,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,1,2
Aiken,New Ellenton,President,,Howie Hawkins | Angela Walker,GRN,4,1,0,0,0,0,3
Aiken,New Holland,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 25,President,,Howie Hawkins | Angela Walker,GRN,9,1,0,0,0,2,6
Aiken,N. Augusta No. 26,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,N. Augusta No. 27,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,1,1
Aiken,N. Augusta No. 28,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,1,2
Aiken,N. Augusta No. 29,President,,Howie Hawkins | Angela Walker,GRN,9,0,0,0,0,3,6
Aiken,Oak Grove,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,0,3
Aiken,Perry,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,Salley,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Shaws Fork,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,0,2
Aiken,Shiloh,President,,Howie Hawkins | Angela Walker,GRN,6,3,0,0,0,0,3
Aiken,Six Points No. 35,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,1,0
Aiken,Tabernacle,President,,Howie Hawkins | Angela Walker,GRN,2,2,0,0,0,0,0
Aiken,Talatha,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,0,3
Aiken,Vaucluse,President,,Howie Hawkins | Angela Walker,GRN,4,0,0,0,0,0,4
Aiken,Wagener,President,,Howie Hawkins | Angela Walker,GRN,5,2,0,0,0,2,1
Aiken,Ward,President,,Howie Hawkins | Angela Walker,GRN,4,1,0,0,0,0,3
Aiken,Warrenville,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,White Pond,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Windsor No. 43,President,,Howie Hawkins | Angela Walker,GRN,2,2,0,0,0,0,0
Aiken,Belvedere No. 44,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,1,1
Aiken,Misty Lakes,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,0,2
Aiken,Six Points No. 46,President,,Howie Hawkins | Angela Walker,GRN,5,2,0,0,0,0,3
Aiken,Aiken No. 47,President,,Howie Hawkins | Angela Walker,GRN,5,2,0,0,0,1,2
Aiken,Hammond No. 48,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,1,1
Aiken,Willow Springs,President,,Howie Hawkins | Angela Walker,GRN,1,1,0,0,0,0,0
Aiken,Breezy Hill,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,Midland Valley No. 51,President,,Howie Hawkins | Angela Walker,GRN,1,1,0,0,0,0,0
Aiken,Levels No. 52,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,3,0
Aiken,Hollow Creek,President,,Howie Hawkins | Angela Walker,GRN,5,3,0,0,0,1,1
Aiken,N. Augusta No. 54,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,1,0
