county,precinct,office,district,party,candidate,votes,in-person_absentee,election_day,provisional,absentee_by_mail,failsafe,failsafe_provisional
Greenwood,Loblolly Pines,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Bee's Ferry,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Levi's Knoll,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Grandiflora Glen,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Ashley River Run,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Hope's Ferry,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Fairhope Ferry,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Pebble Stone Way,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Glendale,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Harris,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Laco,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Ninety Six,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Ninety Six Mill,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Ware Shoals,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Hodges,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Cokesbury,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Coronaca,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Greenwood High,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Georgetown,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Sandridge,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Callison,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Bradley,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Troy,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Epworth,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Verdery,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,New Market,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Emerald,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Airport,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Emerald High,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Civic Center,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Riley,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Shoals Junction,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Greenwood Mill,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Stonewood,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Mimosa Crest,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Lower Lake,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Pinecrest,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Maxwellton Pike,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,New Castle,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Rutherford Shoals,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Liberty,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Biltmore Pines,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Marshall Oaks,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Sparrows Grace,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Mountain Laurel,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Allie's Crossing,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Gideon's Way,President,,DEM,Michael Bennet - WITHDREW,1,0,1,0,0,0,0
Greenwood,Parson's Mill,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Angel Oak's Crossing,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Graham's Glen,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Failsafe,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Provisional,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Failsafe Provisional,President,,DEM,Michael Bennet - WITHDREW,0,0,0,0,0,0,0
Greenwood,Loblolly Pines,President,,DEM,Joseph R Biden,52,11,36,0,5,0,0
Greenwood,Bee's Ferry,President,,DEM,Joseph R Biden,144,45,87,0,12,0,0
Greenwood,Levi's Knoll,President,,DEM,Joseph R Biden,71,18,53,0,0,0,0
Greenwood,Grandiflora Glen,President,,DEM,Joseph R Biden,104,16,85,0,3,0,0
