county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Marion,N EAST MULLINS,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,S EAST MULLINS,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,NICHOLS,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,Failsafe,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,Failsafe Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,STRAIGHT PARTY 1,,REP,Republican,252,61,0,0,0,17,174
Marion,FRIENDSHIP,STRAIGHT PARTY 1,,REP,Republican,50,10,0,0,0,7,33
Marion,CENTENARY,STRAIGHT PARTY 1,,REP,Republican,186,77,0,0,0,5,104
Marion,RAINS,STRAIGHT PARTY 1,,REP,Republican,104,43,0,0,0,2,59
Marion,MARION NO. 1,STRAIGHT PARTY 1,,REP,Republican,128,59,0,0,0,5,64
Marion,MARION NO. 2,STRAIGHT PARTY 1,,REP,Republican,289,106,0,0,0,6,177
Marion,MARION NORTH,STRAIGHT PARTY 1,,REP,Republican,320,138,0,0,0,13,169
Marion,MARION SOUTH,STRAIGHT PARTY 1,,REP,Republican,271,161,0,0,0,10,100
Marion,MARION WEST,STRAIGHT PARTY 1,,REP,Republican,323,118,0,0,0,8,197
Marion,SELLERS,STRAIGHT PARTY 1,,REP,Republican,33,8,0,0,0,4,21
Marion,TEMPERANCE,STRAIGHT PARTY 1,,REP,Republican,155,44,0,0,0,0,111
Marion,ZION,STRAIGHT PARTY 1,,REP,Republican,104,41,0,0,0,3,60
Marion,N WEST MULLINS,STRAIGHT PARTY 1,,REP,Republican,146,74,0,0,0,4,68
Marion,S WEST MULLINS,STRAIGHT PARTY 1,,REP,Republican,232,108,0,0,0,15,109
Marion,N EAST MULLINS,STRAIGHT PARTY 1,,REP,Republican,245,99,0,0,0,4,142
Marion,S EAST MULLINS,STRAIGHT PARTY 1,,REP,Republican,293,124,0,0,0,18,151
Marion,NICHOLS,STRAIGHT PARTY 1,,REP,Republican,205,44,0,0,0,4,157
Marion,Failsafe,STRAIGHT PARTY 1,,REP,Republican,0,0,0,0,0,0,0
Marion,Provisional,STRAIGHT PARTY 1,,REP,Republican,7,0,0,7,0,0,0
Marion,Failsafe Provisional,STRAIGHT PARTY 1,,REP,Republican,1,0,1,0,0,0,0
Marion,BRITTON'S NECK,STRAIGHT PARTY 1,,ALN,Alliance,1,0,0,0,0,0,1
Marion,FRIENDSHIP,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,CENTENARY,STRAIGHT PARTY 1,,ALN,Alliance,1,0,0,0,0,0,1
Marion,RAINS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,MARION NO. 1,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,MARION NO. 2,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,MARION NORTH,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,MARION SOUTH,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,MARION WEST,STRAIGHT PARTY 1,,ALN,Alliance,1,0,0,0,0,0,1
Marion,SELLERS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
