county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Kershaw,Airport,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Antioch,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Bethune,STRAIGHT PARTY 1,,CON,Constitution,3,0,0,0,0,1,2
Kershaw,Buffalo,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Camden No. 1,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Camden No. 2 & 3,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Hobkirk's Hill,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Camden No. 5,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Camden No. 5-A,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Camden No. 6,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Cassatt,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Charlotte Thompson,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Doby's Mill,STRAIGHT PARTY 1,,CON,Constitution,5,2,0,0,0,0,3
Kershaw,E. Camden-Hermitage,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Elgin No. 1,STRAIGHT PARTY 1,,CON,Constitution,4,2,0,0,0,0,2
Kershaw,Elgin No. 2,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Elgin No. 3,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Elgin No. 4,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Elgin No. 5,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Elgin No. 6,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Gates Ford,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Kershaw,Liberty Hill,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Lugoff No. 1,STRAIGHT PARTY 1,,CON,Constitution,3,1,0,0,0,0,2
Kershaw,Lugoff No. 2,STRAIGHT PARTY 1,,CON,Constitution,1,1,0,0,0,0,0
Kershaw,Lugoff No. 3,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,1,0
Kershaw,Lugoff No. 4,STRAIGHT PARTY 1,,CON,Constitution,1,1,0,0,0,0,0
Kershaw,Malvern Hill,STRAIGHT PARTY 1,,CON,Constitution,1,1,0,0,0,0,0
Kershaw,Rabon's X Roads,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Riverdale,STRAIGHT PARTY 1,,CON,Constitution,1,1,0,0,0,0,0
Kershaw,Salt Pond,STRAIGHT PARTY 1,,CON,Constitution,3,1,0,0,0,0,2
Kershaw,Shaylor's Hill,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Springdale,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Westville,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,1,0
Kershaw,Whites Gardens,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Failsafe,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Provisional,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Kershaw,Failsafe Provisional,STRAIGHT PARTY 1,,CON,Constitution,1,0,1,0,0,0,0
Kershaw,Airport,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Antioch,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Bethune,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Buffalo,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Camden No. 1,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Camden No. 2 & 3,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Hobkirk's Hill,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Camden No. 5,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Camden No. 5-A,STRAIGHT PARTY 1,,GRN,Green,1,1,0,0,0,0,0
Kershaw,Camden No. 6,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Cassatt,STRAIGHT PARTY 1,,GRN,Green,2,0,0,0,0,0,2
Kershaw,Charlotte Thompson,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Doby's Mill,STRAIGHT PARTY 1,,GRN,Green,2,1,0,0,0,0,1
Kershaw,E. Camden-Hermitage,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Elgin No. 1,STRAIGHT PARTY 1,,GRN,Green,2,1,0,0,0,0,1
Kershaw,Elgin No. 2,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Elgin No. 3,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Elgin No. 4,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Elgin No. 5,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Elgin No. 6,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Gates Ford,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Liberty Hill,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Lugoff No. 1,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,1,0
Kershaw,Lugoff No. 2,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Lugoff No. 3,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Lugoff No. 4,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Malvern Hill,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Rabon's X Roads,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Riverdale,STRAIGHT PARTY 1,,GRN,Green,1,1,0,0,0,0,0
Kershaw,Salt Pond,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,1,0
Kershaw,Shaylor's Hill,STRAIGHT PARTY 1,,GRN,Green,1,1,0,0,0,0,0
Kershaw,Springdale,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Westville,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Kershaw,Whites Gardens,STRAIGHT PARTY 1,,GRN,Green,2,1,0,0,0,0,1
Kershaw,Failsafe,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Failsafe Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Kershaw,Airport,STRAIGHT PARTY 1,,REP,Republican,305,141,0,0,0,13,151
Kershaw,Antioch,STRAIGHT PARTY 1,,REP,Republican,273,85,0,0,0,10,178
Kershaw,Bethune,STRAIGHT PARTY 1,,REP,Republican,376,66,0,0,0,15,295
Kershaw,Buffalo,STRAIGHT PARTY 1,,REP,Republican,422,56,0,0,0,17,349
Kershaw,Camden No. 1,STRAIGHT PARTY 1,,REP,Republican,256,144,0,0,0,7,105
Kershaw,Camden No. 2 & 3,STRAIGHT PARTY 1,,REP,Republican,59,37,0,0,0,6,16
Kershaw,Hobkirk's Hill,STRAIGHT PARTY 1,,REP,Republican,258,160,0,0,0,24,74
Kershaw,Camden No. 5,STRAIGHT PARTY 1,,REP,Republican,187,114,0,0,0,12,61
Kershaw,Camden No. 5-A,STRAIGHT PARTY 1,,REP,Republican,77,26,0,0,0,8,43
Kershaw,Camden No. 6,STRAIGHT PARTY 1,,REP,Republican,81,36,0,0,0,11,34
Kershaw,Cassatt,STRAIGHT PARTY 1,,REP,Republican,567,160,0,0,0,25,382
Kershaw,Charlotte Thompson,STRAIGHT PARTY 1,,REP,Republican,379,209,0,0,0,16,154
