county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Saluda,Centennial,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Clyde,STRAIGHT PARTY 1,,CON,Constitution,2,0,0,0,0,0,2
Saluda,Delmar,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Fruit Hill,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Higgins/Zoar,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Holly,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Hollywood,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Holstons,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Mayson,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Mt. Willing,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Pleasant Cross,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Pleasant Grove,STRAIGHT PARTY 1,,CON,Constitution,2,1,0,0,0,0,1
Saluda,Richland,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Ridge Spring/Monetta,STRAIGHT PARTY 1,,CON,Constitution,2,1,0,0,0,0,1
Saluda,Saluda No. 1,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Saluda No. 2,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Sardis,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,1,0
Saluda,Ward,STRAIGHT PARTY 1,,CON,Constitution,1,0,0,0,0,0,1
Saluda,Failsafe,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Provisional,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Failsafe Provisional,STRAIGHT PARTY 1,,CON,Constitution,0,0,0,0,0,0,0
Saluda,Centennial,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,1,0
Saluda,Clyde,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Delmar,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Fruit Hill,STRAIGHT PARTY 1,,GRN,Green,1,1,0,0,0,0,0
Saluda,Higgins/Zoar,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Holly,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Hollywood,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Holstons,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Mayson,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Mt. Willing,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Pleasant Cross,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Pleasant Grove,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Richland,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Ridge Spring/Monetta,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Saluda No. 1,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Saluda No. 2,STRAIGHT PARTY 1,,GRN,Green,1,1,0,0,0,0,0
Saluda,Sardis,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Ward,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Saluda,Failsafe,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
