county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Abbeville,Abbeville No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,2,0,2
Abbeville,Abbeville No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,1,0,2
Abbeville,Abbeville No. 3,STRAIGHT PARTY 1,,UNC,United Citizens,7,0,0,0,2,0,5
Abbeville,Abbeville No. 4,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,1,0,2
Abbeville,Antreville,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,1,0,3
Abbeville,Broadmouth,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,2,0,4
Abbeville,Calhoun Falls,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,1,0,4
Abbeville,Cold Springs,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,0,0,5
Abbeville,Donald's,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Abbeville,Due West,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Abbeville,Hall's Store,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Abbeville,Keowee,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Abbeville,Lowndesville,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Abbeville,Lebanon,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,2,0,1
Abbeville,Smithville,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,1,0,1
Abbeville,Failsafe,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Abbeville,Provisional,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Abbeville No. 2,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Abbeville No. 3,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,1,0,0
Abbeville,Abbeville No. 4,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Antreville,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Broadmouth,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Calhoun Falls,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Cold Springs,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Donald's,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Due West,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Hall's Store,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Keowee,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Lowndesville,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Lebanon,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Smithville,STRAIGHT PARTY 1,,GRN,Green,1,0,0,0,0,0,1
Abbeville,Failsafe,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,STRAIGHT PARTY 1,,GRN,Green,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,STRAIGHT PARTY 1,,REP,Republican,363,0,4,0,157,0,202
Abbeville,Abbeville No. 2,STRAIGHT PARTY 1,,REP,Republican,134,0,2,0,55,0,77
Abbeville,Abbeville No. 3,STRAIGHT PARTY 1,,REP,Republican,194,0,3,0,76,0,115
Abbeville,Abbeville No. 4,STRAIGHT PARTY 1,,REP,Republican,167,0,0,0,66,0,101
Abbeville,Antreville,STRAIGHT PARTY 1,,REP,Republican,349,0,7,0,73,0,269
Abbeville,Broadmouth,STRAIGHT PARTY 1,,REP,Republican,130,0,0,0,14,0,116
Abbeville,Calhoun Falls,STRAIGHT PARTY 1,,REP,Republican,212,0,6,0,68,0,138
Abbeville,Cold Springs,STRAIGHT PARTY 1,,REP,Republican,281,0,2,0,62,0,217
Abbeville,Donald's,STRAIGHT PARTY 1,,REP,Republican,150,0,4,0,23,0,123
Abbeville,Due West,STRAIGHT PARTY 1,,REP,Republican,274,0,7,0,49,0,218
Abbeville,Hall's Store,STRAIGHT PARTY 1,,REP,Republican,141,0,4,0,21,0,116
Abbeville,Keowee,STRAIGHT PARTY 1,,REP,Republican,321,0,4,0,33,0,284
Abbeville,Lowndesville,STRAIGHT PARTY 1,,REP,Republican,319,0,1,0,66,0,252
Abbeville,Lebanon,STRAIGHT PARTY 1,,REP,Republican,180,0,1,0,55,0,124
Abbeville,Smithville,STRAIGHT PARTY 1,,REP,Republican,230,0,5,0,62,0,163
Abbeville,Failsafe,STRAIGHT PARTY 1,,REP,Republican,1,1,0,0,0,0,0
Abbeville,Provisional,STRAIGHT PARTY 1,,REP,Republican,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,STRAIGHT PARTY 1,,REP,Republican,2,0,0,2,0,0,0
Abbeville,Abbeville No. 1,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Abbeville,Abbeville No. 2,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Abbeville,Abbeville No. 3,STRAIGHT PARTY 1,,ALN,Alliance,1,0,0,0,1,0,0
Abbeville,Abbeville No. 4,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Abbeville,Antreville,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Abbeville,Broadmouth,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Abbeville,Calhoun Falls,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
