county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Florence,Back Swamp,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Brookgreen,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,1,0,2
Florence,Cartersville,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Florence,Claussen,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,1,0,0,0,5
Florence,Coles Crossroads,STRAIGHT PARTY 1,,UNC,United Citizens,9,0,0,0,2,0,7
Florence,Cowards No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,1,0,3
Florence,Cowards No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,0,0,3
Florence,Delmae No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,3,0,2
Florence,Delmae No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,1,0,5
Florence,Ebenezer No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,11,0,0,0,3,0,8
Florence,Ebenezer No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,17,0,0,0,5,0,12
Florence,Ebenezer No. 3,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,0,0,4
Florence,Effingham,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,1,0,0
Florence,Elim-Glenwood,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,Evergreen,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,0,0,5
Florence,Florence Ward 1,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,1,0,3
Florence,Florence Ward 2,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,1,0,4
Florence,Florence Ward 3,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,0,0,6
Florence,Florence Ward 4,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,0,0,4
Florence,Florence Ward 5,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,1,0,5
Florence,Florence Ward 6,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,2,0,4
Florence,Florence Ward 7,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,0,0,4
Florence,Florence Ward 8,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,Florence Ward 9,STRAIGHT PARTY 1,,UNC,United Citizens,17,0,1,0,4,0,12
Florence,Florence Ward 10,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,3,0,2
Florence,Florence Ward 11,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,Florence Ward 12,STRAIGHT PARTY 1,,UNC,United Citizens,9,0,0,0,4,0,5
Florence,Florence Ward 14,STRAIGHT PARTY 1,,UNC,United Citizens,7,0,0,0,1,0,6
Florence,Florence Ward 15,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Friendfield,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,Gilbert,STRAIGHT PARTY 1,,UNC,United Citizens,14,0,0,0,6,0,8
Florence,Greenwood,STRAIGHT PARTY 1,,UNC,United Citizens,9,0,0,0,4,0,5
Florence,Hannah,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,High Hill,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,1,0,0
Florence,Johnsonville,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,1,0,5
Florence,Kingsburg-Stone,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,0,2
Florence,Lake City No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,18,0,0,0,6,0,12
Florence,Lake City No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,7,0,0,0,2,0,5
Florence,Lake City No. 3,STRAIGHT PARTY 1,,UNC,United Citizens,8,0,0,0,2,0,6
Florence,Lake City No. 4,STRAIGHT PARTY 1,,UNC,United Citizens,16,0,0,0,6,0,10
Florence,Leo,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,1,0,2
Florence,Mars Bluff No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,20,0,0,0,5,0,15
Florence,Mars Bluff No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,0,0,4
Florence,McAllister Mill,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Mill Branch,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,1,0,4
Florence,Oak Grove-Sardis,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Olanta,STRAIGHT PARTY 1,,UNC,United Citizens,8,0,0,0,0,0,8
Florence,Pamplico No. 1,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Pamplico No. 2,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Florence,Prospect,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Florence,Quinby,STRAIGHT PARTY 1,,UNC,United Citizens,8,0,0,0,3,0,5
Florence,Salem,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
