county,precinct,office,district,party,candidate,votes,provisional,failsafe,absentee_by_mail,failsafe_provisional,early_voting,election_day
Charleston,Awendaw,STRAIGHT PARTY 1,,UNC,United Citizens,10,0,0,0,0,0,10
Charleston,Christ Church,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,0,1,4
Charleston,Isle Of Palms 1A,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Charleston,Isle of Palms 1B,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Charleston,Isle of Palms 1C,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,1,0
Charleston,Sullivans Island,STRAIGHT PARTY 1,,UNC,United Citizens,2,0,0,0,0,1,1
Charleston,McClellanville,STRAIGHT PARTY 1,,UNC,United Citizens,8,0,0,0,0,0,8
Charleston,Deer Park 1A,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,1,0,1,3
Charleston,Deer Park 1B,STRAIGHT PARTY 1,,UNC,United Citizens,11,0,0,1,0,3,7
Charleston,Deer Park 2A,STRAIGHT PARTY 1,,UNC,United Citizens,10,0,0,1,0,3,6
Charleston,Deer Park 2B,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,0,1,5
Charleston,Deer Park 2C,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,0,2,4
Charleston,Deer Park 3,STRAIGHT PARTY 1,,UNC,United Citizens,17,0,0,0,0,1,16
Charleston,Lincolnville,STRAIGHT PARTY 1,,UNC,United Citizens,10,0,0,1,0,2,7
Charleston,Ladson,STRAIGHT PARTY 1,,UNC,United Citizens,11,0,0,0,0,4,7
Charleston,Edisto Island,STRAIGHT PARTY 1,,UNC,United Citizens,6,0,0,0,0,1,5
Charleston,Wadmalaw Island 1,STRAIGHT PARTY 1,,UNC,United Citizens,4,0,0,0,0,1,3
Charleston,Wadmalaw Island 2,STRAIGHT PARTY 1,,UNC,United Citizens,5,0,0,0,0,2,3
Charleston,Kiawah Island,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
Charleston,Town of Seabrook,STRAIGHT PARTY 1,,UNC,United Citizens,0,0,0,0,0,0,0
Charleston,Folly Beach 1,STRAIGHT PARTY 1,,UNC,United Citizens,3,0,0,0,0,2,1
Charleston,Folly Beach 2,STRAIGHT PARTY 1,,UNC,United Citizens,1,0,0,0,0,0,1
