county,precinct,office,district,candidate,party,votes,early_voting,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Clarendon,Alcolu,U.S. House,6,Duke Buckner,REP,35,8,0,0,0,0,27
Clarendon,Barrineau,U.S. House,6,Duke Buckner,REP,31,0,0,0,0,0,31
Clarendon,Barrows Mill,U.S. House,6,Duke Buckner,REP,19,2,0,0,0,0,17
Clarendon,Bloomville,U.S. House,6,Duke Buckner,REP,15,4,0,0,0,1,10
Clarendon,Calvary,U.S. House,6,Duke Buckner,REP,6,0,0,0,0,0,6
Clarendon,Davis Station,U.S. House,6,Duke Buckner,REP,59,21,0,0,0,2,36
Clarendon,Harmony,U.S. House,6,Duke Buckner,REP,38,9,0,0,0,0,29
Clarendon,Hicks,U.S. House,6,Duke Buckner,REP,55,4,0,0,0,0,51
Clarendon,Home Branch,U.S. House,6,Duke Buckner,REP,6,2,0,0,0,0,4
Clarendon,Jordan,U.S. House,6,Duke Buckner,REP,119,49,0,0,0,3,67
Clarendon,Manning No. 1,U.S. House,6,Duke Buckner,REP,15,2,0,0,0,2,11
Clarendon,Manning No. 2,U.S. House,6,Duke Buckner,REP,31,12,0,0,0,2,17
Clarendon,Manning No. 3,U.S. House,6,Duke Buckner,REP,46,22,0,0,0,3,21
Clarendon,Manning No. 4,U.S. House,6,Duke Buckner,REP,12,5,0,0,0,0,7
Clarendon,Manning No. 5,U.S. House,6,Duke Buckner,REP,24,10,0,0,0,1,13
Clarendon,New Zion,U.S. House,6,Duke Buckner,REP,38,4,0,0,0,1,33
Clarendon,Paxville,U.S. House,6,Duke Buckner,REP,35,7,0,0,0,0,28
Clarendon,Panola,U.S. House,6,Duke Buckner,REP,6,0,0,0,0,1,5
Clarendon,Sardina-Gable,U.S. House,6,Duke Buckner,REP,8,2,0,0,0,0,6
Clarendon,Summerton No. 1,U.S. House,6,Duke Buckner,REP,94,34,0,0,0,8,52
Clarendon,Summerton No. 2,U.S. House,6,Duke Buckner,REP,4,0,0,0,0,0,4
Clarendon,Summerton No. 3,U.S. House,6,Duke Buckner,REP,14,8,0,0,0,0,6
Clarendon,Turbeville,U.S. House,6,Duke Buckner,REP,95,8,0,0,0,0,87
Clarendon,Wilson Foreston,U.S. House,6,Duke Buckner,REP,25,5,0,0,0,0,20
Clarendon,Oakdale,U.S. House,6,Duke Buckner,REP,9,1,0,0,0,0,8
Clarendon,Failsafe,U.S. House,6,Duke Buckner,REP,0,0,0,0,0,0,0
Clarendon,Provisional,U.S. House,6,Duke Buckner,REP,1,0,0,1,0,0,0
Clarendon,Failsafe Provisional,U.S. House,6,Duke Buckner,REP,0,0,0,0,0,0,0
Clarendon,Alcolu,U.S. House,6,Justin Scott,REP,29,4,0,0,0,0,25
Clarendon,Barrineau,U.S. House,6,Justin Scott,REP,39,0,0,0,0,0,39
Clarendon,Barrows Mill,U.S. House,6,Justin Scott,REP,14,0,0,0,0,0,14
Clarendon,Bloomville,U.S. House,6,Justin Scott,REP,28,6,0,0,0,3,19
Clarendon,Calvary,U.S. House,6,Justin Scott,REP,9,2,0,0,0,0,7
Clarendon,Davis Station,U.S. House,6,Justin Scott,REP,64,22,0,0,0,4,38
Clarendon,Harmony,U.S. House,6,Justin Scott,REP,26,5,0,0,0,0,21
Clarendon,Hicks,U.S. House,6,Justin Scott,REP,47,2,0,0,0,0,45
Clarendon,Home Branch,U.S. House,6,Justin Scott,REP,13,4,0,0,0,0,9
Clarendon,Jordan,U.S. House,6,Justin Scott,REP,140,46,0,0,0,2,92
Clarendon,Manning No. 1,U.S. House,6,Justin Scott,REP,16,7,0,0,0,0,9
Clarendon,Manning No. 2,U.S. House,6,Justin Scott,REP,35,18,0,0,0,1,16
Clarendon,Manning No. 3,U.S. House,6,Justin Scott,REP,61,26,0,0,0,1,34
Clarendon,Manning No. 4,U.S. House,6,Justin Scott,REP,17,6,0,0,0,0,11
Clarendon,Manning No. 5,U.S. House,6,Justin Scott,REP,31,14,0,0,0,1,16
