county,precinct,office,district,candidate,party,votes,early_voting,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
York,Bethany,President,,Randall A Terry/Stephen E Broden,CON,2,1,0,0,0,0,1
York,Bethel,President,,Randall A Terry/Stephen E Broden,CON,3,1,0,0,0,1,1
York,River Hills,President,,Randall A Terry/Stephen E Broden,CON,6,2,0,0,0,1,3
York,Bethel School,President,,Randall A Terry/Stephen E Broden,CON,3,3,0,0,0,0,0
York,Bowling Green,President,,Randall A Terry/Stephen E Broden,CON,3,3,0,0,0,0,0
York,Bullocks Creek,President,,Randall A Terry/Stephen E Broden,CON,1,0,0,0,0,0,1
York,Cannon Mill,President,,Randall A Terry/Stephen E Broden,CON,1,1,0,0,0,0,0
York,Catawba,President,,Randall A Terry/Stephen E Broden,CON,4,1,0,0,0,0,3
York,Clover,President,,Randall A Terry/Stephen E Broden,CON,3,2,0,0,0,0,1
York,Hampton Mill,President,,Randall A Terry/Stephen E Broden,CON,0,0,0,0,0,0,0
York,Cotton Belt,President,,Randall A Terry/Stephen E Broden,CON,6,2,0,0,0,1,3
York,Delphia,President,,Randall A Terry/Stephen E Broden,CON,2,1,0,0,0,0,1
York,Ebenezer,President,,Randall A Terry/Stephen E Broden,CON,5,4,0,0,0,0,1
York,Filbert,President,,Randall A Terry/Stephen E Broden,CON,4,1,0,0,0,1,2
York,Fort Mill No. 1,President,,Randall A Terry/Stephen E Broden,CON,7,2,0,0,0,1,4
York,Windjammer,President,,Randall A Terry/Stephen E Broden,CON,1,0,0,0,0,1,0
York,Fort Mill No. 3,President,,Randall A Terry/Stephen E Broden,CON,1,0,0,0,0,0,1
York,Hickory Grove,President,,Randall A Terry/Stephen E Broden,CON,1,1,0,0,0,0,0
York,Highland Park,President,,Randall A Terry/Stephen E Broden,CON,2,0,0,0,0,0,2
York,Lakeshore,President,,Randall A Terry/Stephen E Broden,CON,3,1,0,0,0,0,2
York,Independence,President,,Randall A Terry/Stephen E Broden,CON,0,0,0,0,0,0,0
York,McConnells,President,,Randall A Terry/Stephen E Broden,CON,2,1,0,0,0,0,1
York,Mt. Holly,President,,Randall A Terry/Stephen E Broden,CON,1,0,0,0,0,0,1
York,Newport,President,,Randall A Terry/Stephen E Broden,CON,4,1,0,0,0,0,3
York,Mt. Gallant,President,,Randall A Terry/Stephen E Broden,CON,4,1,0,0,0,0,3
York,Northside,President,,Randall A Terry/Stephen E Broden,CON,5,1,0,0,0,0,4
York,Oakridge,President,,Randall A Terry/Stephen E Broden,CON,7,4,0,0,0,0,3
York,Ogden,President,,Randall A Terry/Stephen E Broden,CON,2,0,0,0,0,0,2
York,Oakwood,President,,Randall A Terry/Stephen E Broden,CON,4,2,0,0,0,0,2
York,Airport,President,,Randall A Terry/Stephen E Broden,CON,4,3,0,0,0,0,1
York,Rock Hill No. 2,President,,Randall A Terry/Stephen E Broden,CON,2,1,0,0,0,0,1
York,Rock Hill No. 3,President,,Randall A Terry/Stephen E Broden,CON,2,0,0,0,0,0,2
York,Rock Hill No. 4,President,,Randall A Terry/Stephen E Broden,CON,5,2,0,0,0,0,3
York,Rock Hill No. 5,President,,Randall A Terry/Stephen E Broden,CON,3,3,0,0,0,0,0
York,Rock Hill No. 6,President,,Randall A Terry/Stephen E Broden,CON,0,0,0,0,0,0,0
York,Rock Hill No. 7,President,,Randall A Terry/Stephen E Broden,CON,2,0,0,0,0,0,2
